control_id	profile	sigma_squared	pointwise_pattern	eigendirection_persistence	scope
P01_MATCHED_DIAGONAL	u=phi; theta=0; w=constant relative to reciprocal block	1	PASS_ALL_REGULAR_POINTS	CONSTANT_IN_SUPPLIED_TORIC_FRAME	EXACT_CONDITIONAL_CONTROL
P02_INVERSE_DIAGONAL	u=-phi; theta=0; w=constant relative to reciprocal block	1	PASS_ALL_REGULAR_POINTS	CONSTANT_IN_SUPPLIED_TORIC_FRAME	EXACT_CONDITIONAL_CONTROL
P03_SPECTATOR	u=0; theta=0; w arbitrary	0	FAIL	NO_RECIPROCAL_EIGENVALUES	ADMISSIBLE_COUNTERPROFILE_WHERE_PROFILES_FREE
P04_VARIABLE_SHEAR	u=phi^2; theta=0; w arbitrary	4*phi^2	PASS_ONLY_AT_PHI_PLUS_OR_MINUS_ONE_HALF	EIGENDIRECTIONS_FIXED_SPECTRUM_NOT	ADMISSIBLE_COUNTERPROFILE_WHERE_PROFILES_FREE
P05_TUNED_ROTATING_AXIS	u=u0!=0; theta=phi/sinh(2u0); w=constant relative to reciprocal block	1	PASS_ALL_REGULAR_POINTS	SPECTRUM_ONLY__EIGENDIRECTIONS_ROTATE_WITHOUT_SUPPLIED_TRANSPORT	EXACT_NONDIAGONAL_SHAPE_CONTROL
P06_GENERIC_ROTATING_AXIS	u=u0; theta=k*phi; w arbitrary	k^2*sinh(2u0)^2	PASS_ONLY_IF_K_SQUARED_SINH_SQUARED_EQUALS_ONE	SPECTRUM_AND_FRAME_TRANSPORT_SEPARATE	EXACT_FAMILY_CONTROL
P07_MIXED_SHEAR_ROTATION	u=u(phi); theta=theta(phi); w arbitrary	u_p^2+theta_p^2*sinh(2u)^2	CODIMENSION_ONE_UNIT_SPEED_CONDITION	NOT_IMPLIED_BY_SPECTRUM	GENERAL_EXACT_RESULT
P08_COMMON_SCALE_RATE	u=phi; theta=0; w=w(phi)	1	SHAPE_PASSES__FULL_MINUS1_PLUS1_FAILS_UNLESS_W_P_ZERO	CONSTANT_IN_SUPPLIED_TORIC_FRAME	H_EIGENVALUES_W_P_PLUS_OR_MINUS_ONE__ANGULAR_RELATIVE_MEAN_IS_NOT_FULL_METRIC_CSN_GAUGE
P09_CRITICAL_PHI	dphi=0	UNDEFINED	UNDEFINED	T_WITH_T_PHI_ONE_DOES_NOT_EXIST	FAIL_CLOSED
P10_RANK_DROP	q=diag(r^2,1) at r=0	UNDEFINED_AT_R_ZERO	REGULAR_COMPLEMENT_ONLY	NO_RANK_TWO_EXTENSION_THROUGH_CAP	FAIL_CLOSED
