catch_id	mutation	status
C01	missing_completion_row	CAUGHT
C02	duplicate_completion_row	CAUGHT
C03	topology_treated_as_metric_profile	CAUGHT
C04	angular_trace_erased_as_full_metric_CSN	CAUGHT
C05	common_scale_silently_constant	CAUGHT
C06	angular_rotation_silently_zero	CAUGHT
C07	FC12_promoted_to_selected	CAUGHT
C08	critical_phi_assigned_generator	CAUGHT
C09	rank_drop_extended	CAUGHT
C10	general_monodromy_replaced_by_identity	CAUGHT
C11	mirror_lifts_collapsed	CAUGHT
C12	allowed_profile_called_forced	CAUGHT
C13	c_dropped_from_complete_metric	CAUGHT
C14	conditional_control_called_universe	CAUGHT
C15	FC12_regular_result_lost	CAUGHT
C16	formula_sign_flip	CAUGHT
C17	sigma_rotation_term_dropped	CAUGHT
C18	branch_count_changed	CAUGHT
C19	pointwise_spectrum_promoted_to_transport	CAUGHT
C20	action_or_matter_claim_added	CAUGHT
