completion_id	base_completion	topology_family	preregistered_scope
FC01_BOUNDARY_BOUNDARY	FINITE_INTERVAL	I_X_ORBIT	ALL_ADMISSIBLE_BOUNDARY_PROFILES
FC02_ONE_CAP_BOUNDARY	FINITE_INTERVAL	SOLID_TORUS_WITH_BOUNDARY	ALL_PRIMITIVE_CAPS_AND_COMPATIBLE_PROFILES
FC03_TWO_CAP_P0	FINITE_INTERVAL	S2_X_S1_STANDARD_OR_GENERAL_P0	ALL_DEPENDENT_PRIMITIVE_CAP_PAIRS_AND_PROFILES
FC04_TWO_CAP_P1	FINITE_INTERVAL	S3	ALL_UNIMODULAR_PRIMITIVE_CAP_PAIRS_AND_PROFILES
FC05_TWO_CAP_P_GT1	FINITE_INTERVAL	LENS_L_P_Q	ALL_DETERMINANT_GT1_PRIMITIVE_CAP_PAIRS_AND_PROFILES
FC06_NONPRIMITIVE_CAP	FINITE_INTERVAL	SINGULAR_TORIC_COMPLETION	ALL_NONPRIMITIVE_CAPS_AND_REGULAR_COMPLEMENTS
FC07_PERIODIC_TORUS_BUNDLE	S1	TORUS_BUNDLE_OVER_S1	ALL_GL2Z_MONODROMIES_AND_COMPATIBLE_PROFILES
FC08_MIRROR_DOUBLE	DOUBLED_INTERVAL	DOUBLE_OR_REFLECTION_QUOTIENT	ALL_REGISTERED_ANGULAR_LIFTS_AND_COMPATIBLE_PROFILES
FC09_NONORIENTABLE_GLUE	S1_OR_QUOTIENT_INTERVAL	NONORIENTABLE_ORIENTATION_TWISTED	ALL_DET_MINUS1_MONODROMIES_AND_LINE_SIGN_HOLONOMIES
FC10_STRATIFIED_PROJECTOR	FINITE_OR_PERIODIC	STRATIFIED_DISTRIBUTION	ALL_RETAINED_RANK_TRANSITIONS_AND_DEGENERACIES
FC11_NONINTEGRABLE_DISTRIBUTION	FINITE_OR_PERIODIC	NONINTEGRABLE_PLANE_FIELD	ALL_NONZERO_FROBENIUS_BRANCHES
FC12_RECIPROCAL_TORIC_DIAGONAL	FINITE_INTERVAL_OPEN_OR_CAP	BOUNDARY_P0_S3_LENS_OR_OTHER_PER_CAP_DATA	ARBITRARY_POSITIVE_COMMON_PROFILE_AND_EVERY_DISCLOSED_ENDPOINT_CLASS
