axis	coverage	remaining_open
angular_metric	ALL_POSITIVE_REAL_2X2_Q_ON_SUPPLIED_REGULAR_BUNDLE	no_universal_bundle_selection
depth_parameter	T_PHI_EQUALS_ONE_WHERE_DPHI_NONZERO	critical_phi_and_global_cover
full_symmetric_strain	EXACT_GENERAL_FORMULA	skew_frame_rotation
relative_mean_scale	EXACT_FULL_METRIC_CSN_INVARIANT	native_equation_or_selector
shape_speed	EXACT_SIGMA_SQUARED_FORMULA	native_unit_speed_equation
completion_families	ALL_12_REGISTERED_PARAMETRIC_FAMILIES	complete_on_shell_profiles
mirror_lifts	PLUS_I_MINUS_I_AXIS_REFLECTION_EXCHANGE	unique_lift_selection
monodromy	GENERAL_NORMALIZER_RULE_PLUS_8_CONTROLS	selected_monodromy
caps_and_rank_changes	FAIL_CLOSED_UNDEFINED_AT_DEGENERACY	alternative_regular_extension_if_derived
c_anchor	EXPLICIT_COMPLETE_METRIC_DETERMINANT	angular_scale_not_fixed
action_source_carrier	NOT_TESTED	OPEN
GPU	NONE	NOT_AUTHORIZED_OR_NEEDED

