source_id	path	sha256	size	role
S01	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	73d9f21e31d74c174dc173e03ddd27f8689c376170959d8419004f225bed73e6	2608	TWELVE_BRANCH_UNIVERSE
S02	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	7a596530a78a75aec03bac6f35db31ebe534e0115ca51dda64acffd0c781844a	14055	BRANCH_SCOPE_AND_GLOBAL_LIMITS
S03	udt_global_metric_assembly_atlas_2026-07-22/build_global_assembly_atlas.py	883980e439a468270d9c13f348f1a1fbd1501e1806d22005e2849b1c37f05ecd	55842	FC12_EXACT_PROFILE_AND_MONODROMY_CONTROLS
S04	udt_global_metric_assembly_atlas_2026-07-22/BUNDLE_HOLONOMY_ATLAS.tsv	8337c04d5b5b5aac858e980baa937771060bced8db4eecf8362b630d7815f4df	4019	TRANSPORT_MONODROMY_SEPARATION
S05	udt_reciprocal_angular_intertwiner_audit_2026-07-23/AUDIT_REPORT.md	3d368c4e8c16db18aec43280f8edb3205765d4ebc5349b2795dfb1847e87355d	11732	MATCHED_GENERATOR_THEOREM
S06	udt_reciprocal_angular_intertwiner_audit_2026-07-23/COMPLETION_SOLDERING_ATLAS.tsv	5130d6c1675a8cc16321d1f87c6c765adfba13eb8489d1f3b8a3b2ec368fe7c8	3305	PRIOR_COMPLETION_RULINGS
S07	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	2886	CSN_TRACE_REMOVAL_SCOPE
S08	udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	923e6e4e7d9b6478f8b281f7d48f4fd46cd194c292a01540c46509ee6fc89776	11332	INTRINSIC_OBJECT_AND_DPHI_STRATA
S09	udt_reciprocal_seam_descent_audit_2026-07-23/AUDIT_REPORT.md	43ac1ef41a2e99e156078ff4de460ff2e1f233fd4da8bb52a7692cad99e45d63	7903	COVER_AND_CRITICAL_DPHI_LIMITS
S10	udt_clock_anchor_scale_threading_audit_2026-07-22/AUDIT_REPORT.md	26c3034d4a029ebcb53501abb5e4cb78fad7173c26557572aea3346bdf8a1545	8235	C_SCALE_THREADING
S11	udt_angular_generator_branch_census_2026-07-23/PREREGISTRATION.md	e59f71e68ec735adfa94aa974a311d404bb6fd2217f8a5e7fb286d6f92ac3067	5372	FROZEN_SCOPE
S12	udt_angular_generator_branch_census_2026-07-23/PREMISE_LEDGER.tsv	7e66df5bdbee9cd9e0a2d5d3332480caccb6fe6cb5d993c5db1fad942dfa968c	1751	FROZEN_PREMISES
S13	udt_angular_generator_branch_census_2026-07-23/BRANCH_UNIVERSE.tsv	79df4c3d80608d3fd261eb7b863d6ede77b417597e8d2decd5b72679bb535208	1400	FROZEN_BRANCH_IDENTITIES
S14	udt_angular_generator_branch_census_2026-07-23/CORRECTION_PREREGISTRATION.md	dfc9feeec9b2104fb4d999813d1c388c5bdbfcbb57cd690c4d3cebd8a985165f	3049	FULL_METRIC_RELATIVE_SCALE_CORRECTION
S15	udt_angular_generator_branch_census_2026-07-23/CORRECTION_PREMISE_LEDGER.tsv	40f697021a097e1e4ea50ad829c1b2274d9600db6def41c259302e41a9ee2030	707	CORRECTED_PREMISE_TYPES
