claim	status	scope
G323/G324 compact Taub/Kasner metric is Ricci-flat	DERIVED_CONDITIONAL	owner-adopted provisional G310/G312 bounded vacuum dynamics
constant translation-field pair carry	CHOSE_DECLARED_QUERY	one complete finite-time observer-pair family
raw completed pair matrix and determinant -G	DERIVED_CONDITIONAL	all u>0, rho in [0,1], finite z
W1 density m=sqrt(G) and determinant -1	DERIVED_CONDITIONAL	regular pair stratum Delta>0
terminal Phi and projective chi	DERIVED_CONDITIONAL	regular calibrated pair only
zero-boost terminal-scalar blindness	DERIVED_CONDITIONAL	full ruler-density channel retained
rho=2/3 first-order silent direction	DERIVED_CONDITIONAL	chosen reference time T0
exact finite-time turn-on of silent direction	DERIVED_CONDITIONAL	both sides of T0 while pair remains regular
pair-germ Delta=0 boundary	DERIVED_CONDITIONAL	not identified with ambient horizon or singularity
unique physical carry or observer population	OPEN	not supplied by G338
physical spacetime occupancy	OPEN	G338 evaluates one lawful member only
absolute scale or physical X_max	OPEN	common rescaling remains invisible
generic G332 finite-time development	OPEN	G338 is not a generic solution-space census
stability	OPEN	no perturbation or nonlinear stability theorem
