item	status	role	forbidden_promotion
UDT_metric	pinned-by-THEORY	complete G323/G324 metric is upstream of pair readout	separate kernel dynamics
Universal_Reciprocity_DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	bounded dynamics ownership	derived theorem or canon
quiet_GR_response	OWNER_ADOPTED_PROVISIONAL_POSTULATE	G312 bounded response constitution	vacuum GR imported as foundational theorem
Local_Metric_Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE	local finite-jet response scope	unique possible response architecture
Ric_zero	DERIVED_CONDITIONAL_G323	active equation on displayed exact spacetime	full UDT equation in every sector
G176_completed_pair_Dual_Reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	W1 normalization after full pullback	canon or arbitrary-curve rule
W5_projective_position	WORKING_FOUNDATIONAL_CLARIFICATION	chi is normalized projective pair position	dimensionful distance or Xmax
Taub_Kasner_metric	DERIVED_CONDITIONAL_G323_G324	explicit regular T-positive development	selected physical universe
compact_T3_quotient	CHOSE_BOUNDED_DIAGNOSTIC_FAMILY	inherited exact G323/G324 domain	physical topology
Taub_parameter	free-and-explored_positive	geometry parameter; dimensionless ratios may cancel	observed scale or Xmax
reference_slice_T0	free-and-explored_positive	declared calibration/evaluation slice	preferred physical now or selected scale
time_ratio_u	free-and-explored_positive	full displayed proper-time domain	finite sampled interval called complete
direction_rho	free-and-explored_closed_interval	all initial unit directions modulo exact transverse symmetry	physical germ population
rapidity_z	free-and-explored_finite_real	all finite initial boosts analytically	preferred observer or fitted value
pair_carry	CHOSE_DECLARED_QUERY	inherited commuting Lie carry from initial orthonormal pair	universal physical carry
pair_regular_stratum	DERIVED_DOMAIN	Delta positive so carried time vector remains timelike	spacetime horizon or physical boundary
screen_mixing	OMITTED_BY_DECLARED_PAIR_SYMMETRY	full metric is restricted to one integrable normal-spatial plane	all pair germs or screen sector absent from UDT
tensor_pullback_and_Kasner_methods	IMPORTED_MATHEMATICAL_METHOD	category-A evaluation tools	new physical law
GPU	NOT_NEEDED	exact algebra is cheaper and stronger here	absence treated as lack of coverage
source_matter_mass_action	OMITTED_OPEN	vacuum diagnostic only	derived absence in full UDT
observation_scale_Xmax	OMITTED_OPEN	no fit anchor or boundary attachment	prediction or selection
stability_occupancy	OMITTED_OPEN	one exact solution family only	generic or selected history
