catch_id	injection	expected	observed	status
C01_METRIC_CHART	EXERCISED	FAIL_CLOSED	REJECTED	PASS
C02_NONUNIMODULAR_PAIR	EXERCISED	FAIL_CLOSED	REJECTED	PASS
C03_WALL_SUFFICIENCY	EXERCISED	FAIL_CLOSED	REJECTED	PASS
C04_TIE_MAXIMUM	EXERCISED	FAIL_CLOSED	REJECTED	PASS
C05_GL2Z_COVARIANCE	EXERCISED	FAIL_CLOSED	REJECTED	PASS
C06_CONNECTION_COVARIANCE	EXERCISED	FAIL_CLOSED	REJECTED	PASS
C07_LOCAL_CONSTANCY	EXERCISED	FAIL_CLOSED	REJECTED	PASS
C08_CAP_DESCENT	EXERCISED	FAIL_CLOSED	REJECTED	PASS
C09_TORIC_EXISTENCE	EXERCISED	FAIL_CLOSED	REJECTED	PASS
C10_SIGN_PROMOTION	EXERCISED	FAIL_CLOSED	REJECTED	PASS
C11_PHYSICAL_PROMOTION	EXERCISED	FAIL_CLOSED	REJECTED	PASS
C12_SCOPE_GPU	EXERCISED	FAIL_CLOSED	REJECTED	PASS
C13_SCOPE_MATTER	EXERCISED	FAIL_CLOSED	REJECTED	PASS
C14_COMPLETION_OMISSION	EXERCISED	FAIL_CLOSED	REJECTED	PASS
C15_COMPLETION_DUPLICATE	EXERCISED	FAIL_CLOSED	REJECTED	PASS
C16_PHASE_PROMOTION	EXERCISED	FAIL_CLOSED	REJECTED	PASS
