premise_id	premise	stamp	role	restriction
P01	complete_positive_triangular_angular_coframe	DERIVED	local_metric_input	chart_is_not_physical_selection
P02	H_equals_D_transpose_D_with_det_one	DERIVED	local_metric_input	common_scale_removed
P03	phi_real	free-and-explored	continuous_axis	no_regime_label
P04	shear_real	free-and-explored	continuous_axis	no_aligned_privilege
P05	integral_T2_character_lattice	CONDITIONAL	global_input	only_where_completion_is_genuinely_toric
P06	primitive_character_identified_modulo_sign	CHOSE	mathematical_line_convention	sign_and_phase_orientation_remain_open
P07	shortest_dual_character_set	DERIVED_GEOMETRIC_INVARIANT	parent_input	physical_use_not_inherited
P08	T2_shift_connection	DERIVED_IN_TORIC_CHART	transport_input	no_phase_section
P09	twelve_completion_classes	free-and-explored	global_taxonomy	no_completion_selected
P10	cap_collapse_cycles	CONDITIONAL	global_subcase	no_cycles_invented
P11	GL2Z_torus_transition	CONDITIONAL	global_subcase	basis_change_not_physics
P12	mirror_and_orientation_lifts	free-and-explored	global_subcase	no_lift_selected
P13	CSN	WORKING	invariance_constraint	does_not_select_character_physics
P14	Reciprocity	WORKING	structural_constraint	no_character_selection_rule_assumed
P15	finite_cell	WORKING	global_constraint	does_not_universally_imply_torus
P16	bootstrap	WORKING	later_admissibility	no_operational_selector_assumed
P17	physical_character_selection	OPEN	load_bearing_missing_step	cannot_follow_from_shortness_alone
P18	character_sign_or_orientation	OPEN	load_bearing_missing_step	line_is_modulo_sign
P19	phase_section	OPEN	load_bearing_missing_step	connection_is_not_section
P20	round_S2_carrier	POSIT	comparison_only	not_used_in_primary_derivation
P21	L2_plus_L4_action	CONDITIONAL	outside_primary_derivation	not_used_to_select_w
P22	density_to_geometry	OPEN	outside_scope	no_density_axis_or_scan
P23	external_physics_equations	REJECTED_AS_DERIVATION	provenance_firewall	no_GR_QM_SM_import
