completion_id	torus_lattice	W_min_set	unique_line	sign_orientation	projected_connection	phase_section	physical_selection	global_outcome
FC01_BOUNDARY_BOUNDARY	LOCAL_IF_SUPPLIED	DEFINED_ON_TORIC_REGION	ON_WALL_FREE_SUBREGIONS	BOUNDARY_FRAMING_OPEN	LOCAL_IF_LINE_CHOSEN	BOUNDARY_DATA_REQUIRED	OPEN_NOT_SELECTED	INTERVAL_WALL_CROSSING_AND_BOUNDARY_DEPENDENT
FC02_ONE_CAP_BOUNDARY	OFF_CAP_ONLY	DEFINED_OFF_CAP	WALL_FREE_REGION_ONLY	OPEN	OFF_CAP	CAP_REQUIRES_W_OF_VCAP_ZERO_OR_VANISHING_AMPLITUDE;BOUNDARY_OPEN	OPEN_NOT_SELECTED	ONE_CAP_PLUS_BOUNDARY_CONDITIONAL
FC03_TWO_CAP_P0	OFF_CAPS	DEFINED_OFF_CAPS	WALL_FREE_REGION_ONLY	RESIDUAL_CIRCLE_ORIENTATION_OPEN	ON_SURVIVING_CHARACTER_LINE	ONLY_CHARACTER_ANNIHILATING_DEPENDENT_CAP_CYCLE_CAN_EXTEND_ALONE	OPEN_NOT_SELECTED	P0_RESIDUAL_CIRCLE_AND_HOLONOMY_DEPENDENT
FC04_TWO_CAP_P1	OFF_CAPS	DEFINED_OFF_CAPS	WALL_FREE_REGION_ONLY	ORIENTATION_OPEN	OFF_CAPS	NO_NONZERO_CHARACTER_ANNIHILATES_BOTH_UNIMODULAR_CAP_CYCLES	OPEN_NOT_SELECTED	PHASE_ALONE_CANNOT_GLOBALIZE;LATITUDE_AMPLITUDE_OR_PATCHING_REQUIRED
FC05_TWO_CAP_P_GT1	OFF_CAPS_WITH_QUOTIENT	DEFINED_WITH_QUOTIENT_CONGRUENCE	WALL_FREE_AND_QUOTIENT_COMPATIBLE_ONLY	QUOTIENT_DEPENDENT	CHARACTER_CONGRUENCE_DEPENDENT	CAP_AND_LENS_HOLONOMY_DEPENDENT	OPEN_NOT_SELECTED	LENS_BRANCH_DATA_REQUIRED
FC06_NONPRIMITIVE_CAP	ORBIFOLD_OFF_CAP	DEFINED_OFF_CAP	ORBIFOLD_REPRESENTATION_DEPENDENT	STABILIZER_DEPENDENT	ORBIFOLD_CONNECTION_ONLY	CHARACTER_MUST_BE_TRIVIAL_ON_EXCEPTIONAL_STABILIZER_OR_AMPLITUDE_VANISH	OPEN_NOT_SELECTED	SINGULAR_OR_ORBIFOLD_CONDITIONAL
FC07_PERIODIC_TORUS_BUNDLE	GLOBAL_LOCAL_SYSTEM	GLOBAL_SET_VALUED_INVARIANT_BY_GL2Z_COVARIANCE	GLOBAL_UNORIENTED_SUB_LOCAL_SYSTEM_IF_BRANCH_AVOIDS_TIES	MONODROMY_MAY_REVERSE_SIGN	GLOBAL_LINE_CONNECTION_IF_UNIQUE	CURVATURE_HOLONOMY_AND_SIGN_DEPENDENT	OPEN_NOT_SELECTED	TIE_WALL_MONODROMY_AND_HOLONOMY_DEPENDENT
FC08_MIRROR_DOUBLE	LIFT_DEPENDENT	COVARIANT_SET_IF_LIFT_IS_LATTICE_AUTOMORPHISM	PRESERVED_OR_EXCHANGED_BY_MIRROR	PRESERVED_OR_CONJUGATED	MIRROR_PARITY_DEPENDENT	FIXED_SET_AND_LIFT_DEPENDENT	OPEN_NOT_SELECTED	LIFT_DEPENDENT
FC09_NONORIENTABLE_GLUE	TWISTED_LOCAL_SYSTEM	GLOBAL_SET_POSSIBLE	UNORIENTED_LINE_POSSIBLE_OFF_TIES	SIGN_MAY_REVERSE	REAL_OR_CONJUGATE_LINE_CONNECTION	COMPLEX_PHASE_REQUIRES_ADDITIONAL_REAL_STRUCTURE	OPEN_NOT_SELECTED	ORIENTATION_TWISTED
FC10_STRATIFIED_PROJECTOR	STRATUM_DEPENDENT	DEFINED_ONLY_ON_RANK_TWO_TORIC_STRATA	MAY_TERMINATE_OR_BECOME_SET_VALUED	STRATUM_DEPENDENT	NO_UNIVERSAL_CROSS_STRATUM_OBJECT	STRATUM_MATCHING_OPEN	OPEN_NOT_SELECTED	RANK_CHANGE_OBSTRUCTION
FC11_NONINTEGRABLE_DISTRIBUTION	NO_GLOBAL_TORIC_LATTICE	NO_GLOBAL_DEFINITION	NOT_AVAILABLE_GLOBALLY	NOT_APPLICABLE	NO_GLOBAL_CHARACTER_PROJECTION	NO_GLOBAL_TORIC_PHASE	OPEN_NOT_SELECTED	FROBENIUS_OBSTRUCTION
FC12_RECIPROCAL_TORIC_DIAGONAL	SUPPLIED_CONTROL	EXACT_RECIPROCAL_SWAP	UNIQUE_FOR_PHI_NONZERO;TWO_WAY_TIE_AT_PHI_ZERO	OPEN	SWAPS_CHARACTER_ACROSS_TIE	NO_METRIC_ONLY_CONTINUATION_ACROSS_PHI_ZERO	OPEN_NOT_SELECTED	DIAGONAL_SEAL_CROSSES_SELECTOR_WALL
