object_id	object	definition	required_status
O01	angular_metric	H=D^T_D	derive_exact
O02	dual_metric	Q=H^-1	derive_exact
O03	upper_half_plane_coordinate	tau=x+i*y_with_y_positive	derive_bijection
O04	primitive_character_lattice	primitive_w_in_Z2_mod_sign	conditional_toric_input
O05	character_norm	L_w=w^T_Q_w	derive_exact
O06	shortest_character_set	W_min=argmin_primitive_L_w	derive_set_valued_invariant
O07	unique_character_chamber	C_w={H:L_w<L_v_all_v_not_plusminus_w}	derive_analytic_definition
O08	equality_locus	E_wv={H:L_w=L_v}	derive_exact_curve
O09	admissible_tie_wall	independent_co_shortest_pair_and_no_shorter_character	derive_complete_pair_condition
O10	triple_vertex	three_character_tie_at_reduced_wall_endpoint	derive_exact
O11	tie_multiplicity	maximum_number_of_unoriented_shortest_lines	derive_or_leave_open
O12	GL2Z_covariance	H_and_w_transition_laws	derive_exact
O13	projected_connection	b_w=w^T_S	derive_covariance
O14	local_constancy	unique_discrete_w_along_wall_free_path	derive_exact
O15	global_character_local_system	monodromy_and_tie_free_descent	classify
O16	cap_extension	w_of_collapsed_cycle_equals_zero_or_amplitude_vanishes	classify
O17	mirror_orientation_descent	preserve_or_reverse_character_line	classify
O18	physical_selection	existing_UDT_premise_selects_W_min_or_not	audit_without_assumption
