completion_id	registered	classified_once	preferred_or_filtered	physical_selection
FC01_BOUNDARY_BOUNDARY	YES	YES	NO	OPEN_NOT_SELECTED
FC02_ONE_CAP_BOUNDARY	YES	YES	NO	OPEN_NOT_SELECTED
FC03_TWO_CAP_P0	YES	YES	NO	OPEN_NOT_SELECTED
FC04_TWO_CAP_P1	YES	YES	NO	OPEN_NOT_SELECTED
FC05_TWO_CAP_P_GT1	YES	YES	NO	OPEN_NOT_SELECTED
FC06_NONPRIMITIVE_CAP	YES	YES	NO	OPEN_NOT_SELECTED
FC07_PERIODIC_TORUS_BUNDLE	YES	YES	NO	OPEN_NOT_SELECTED
FC08_MIRROR_DOUBLE	YES	YES	NO	OPEN_NOT_SELECTED
FC09_NONORIENTABLE_GLUE	YES	YES	NO	OPEN_NOT_SELECTED
FC10_STRATIFIED_PROJECTOR	YES	YES	NO	OPEN_NOT_SELECTED
FC11_NONINTEGRABLE_DISTRIBUTION	YES	YES	NO	OPEN_NOT_SELECTED
FC12_RECIPROCAL_TORIC_DIAGONAL	YES	YES	NO	OPEN_NOT_SELECTED
