catch	result
CSN_overclaim_rejected	PASS
Hopf-requirement_overclaim_rejected	PASS
Hopf_overclaim_rejected	PASS
K-choice_overclaim_rejected	PASS
K-provenance_overclaim_rejected	PASS
K-status_overclaim_rejected	PASS
action_overclaim_rejected	PASS
angular-I_overclaim_rejected	PASS
angular-axis_overclaim_rejected	PASS
angular-minus_overclaim_rejected	PASS
angular-status_overclaim_rejected	PASS
balanced-choice_overclaim_rejected	PASS
basis_overclaim_rejected	PASS
block_founded_promotion_rejected	PASS
boundary-tangent_overclaim_rejected	PASS
canon_mutation_rejected	PASS
carrier-status_overclaim_rejected	PASS
carrier_import_rejected	PASS
chirality_overclaim_rejected	PASS
complete-status_overclaim_rejected	PASS
complete-witness_overclaim_rejected	PASS
complex_overclaim_rejected	PASS
constant-family_overclaim_rejected	PASS
continuum_collapse_rejected	PASS
derivation_outcome_mutation_rejected	PASS
direct-four_overclaim_rejected	PASS
eta-status_overclaim_rejected	PASS
foundation_overclaim_rejected	PASS
global-status_overclaim_rejected	PASS
global_overclaim_rejected	PASS
grade_overclaim_rejected	PASS
inequivalent_witness_loss_rejected	PASS
mass_overclaim_rejected	PASS
maximum_overreach_rejected	PASS
missing_block_rejected	PASS
missing_census_rejected	PASS
missing_extension_rejected	PASS
missing_outcome_rejected	PASS
missing_requirement_rejected	PASS
missing_scope_rejected	PASS
missing_source_rejected	PASS
missing_status_rejected	PASS
missing_witness_rejected	PASS
native_outcome_promotion_rejected	PASS
negative-factor_overclaim_rejected	PASS
normal_overclaim_rejected	PASS
outcome-status_overclaim_rejected	PASS
raw-swap_overclaim_rejected	PASS
time-on_overclaim_rejected	PASS
time-status_overclaim_rejected	PASS
transport-requirement_overclaim_rejected	PASS
transport-status_overclaim_rejected	PASS
transport_overclaim_rejected	PASS
transport_promotion_rejected	PASS
