layer	status	covered	omitted_or_open
source census	COVERED_EXACTLY	all 84 load-bearing rows frozen at base plus complete tracked keyword census	generated package excluded from feedback
reciprocal character	COVERED_EXACTLY	all constant real 2x2 inverting involutions	field-dependent general bundle maps beyond recorded family not claimed classified
diagonal eta readout	COVERED_EXACTLY	positive-conformal compatibility of complete constant F_b family	readout is conditional physics
dual K readout	COVERED_EXACTLY	full F_b isometry family and basis equivalence	K-as-physical metric remains a choice
field transport	COVERED_BOUNDED	canonical T=D(-phi)D(phi)^-1 cocycle	arbitrary gauge-dressed transports do not restore uniqueness
normal sector	PARTIAL	racial reflection and normal sign consequence	full bundle lift extrinsic orientation and corners open
angular isotropic sector	COVERED_EXACTLY	three orthogonal involution conjugacy types and continuous axes	no native angular metric or director selected
angular anisotropic sector	CLASSIFIED_STRUCTURALLY	stabilizer depends on eigenvalue strata	intrinsic angular metric twist and degeneracies open
time-on sector	PARTIAL	canonical temporal mirror authority preserved	executable shift rotation omega and node parity open
common scale	PARTIAL	positive factor requirement and gauge freedom retained	no physical representative or cocycle selected
boundary tangents	NOT_REACHED	dependency on fixed and anti-fixed subspaces exposed	delta h delta K corners charge not classified
global topology	WITNESS_ONLY	conditional Hopf and toric completions retained	caps lattice orientation spin lift and soldering open
action and variation	OUT_OF_SCOPE	frozen conditional statuses respected	no C2 EH bridge or boundary functional selected
matter carrier	OUT_OF_SCOPE	carrier exclusion enforced	no S2 carrier or source adopted
scale and mass	OUT_OF_SCOPE	no normalization introduced	Xmax total mass and particle mass open
nonlinear solution space	NOT_RUN	exact finite-dimensional audit only	no stationary time-live or full-universe branch sampled
external adversarial model review	NOT_PERFORMED	independent local implementation used	no fresh different-model authorization
