axis	covered	not_covered
observer_actions	all_smooth_effective_complete_transitive_orientation_preserving_1D_actions	full_multidimensional_bounded_domain_groups
distance_semantics	oriented_comparison_nonnegative_magnitude_and_direction_split	global_operational_distance_theorem
compactifications	projective_algebraic_arctangent_and_slope_matched_infinite_family	nonsmooth_nontransitive_or_nonmonotone_displays
projective_join	unique_three_anchor_first_degree_fractional_linear_chart	physical_readout_premise
metric_control	recorded_static_WRL_coordinate_proper_optical_and_lapse_maps	global_universe_selection
coframe	exact_dphi_reparametrization_for_arbitrary_H	critical_phi_and_all_time_live_coframes
boundary	one_asymptotic_limit_on_each_oriented_ray	global_boundary_topology_and_terminal_status
angular	constant_lambda_Jacobi_control	selected_topology_shape_twist_and_complete_on_shell_branch
scale	c_E_G_obs_Xmax_dimensional_combinations	dimensionless_coefficients_native_mass_and_bootstrap
dynamics	none	action_source_carrier_boundary_functional_and_matter
compute	exact_symbolic_CPU_and_independent_fraction_arithmetic	GPU_or_time_live_exploration
