route_id	route	required_test
R01	INVARIANT_BOUND_AXIOM	separate_universal_scale_endpoint_and_unattainability
R02	ORIENTED_ACTION_CLASSIFICATION	classify_every_declared_one_parameter_interval_action_by_flow_coordinate
R03	NONNEGATIVE_DISTANCE_CORRECTION	separate_signed_comparison_magnitude_and_direction
R04	SMOOTH_COMPACTIFICATION_COUNTERFAMILY	test_odd_endpoint_and_slope_matched_nonuniqueness
R05	ANCHORED_PROJECTIVE_CLASS	solve_three_anchor_first_degree_fractional_linear_readout
R06	RECIPROCAL_CHARACTER_JOIN	test_when_additive_phi_and_observer_parameter identify_position_chart
R07	COMPLETE_COFRAME_REPARAMETRIZATION	test_H_dependence_after_exact_Jacobian
R08	WRL_COORDINATE_REACH	derive_r_over_X_as_function_of_phi
R09	WRL_PROPER_REACH	derive_metric_path_length_and_total
R10	WRL_OPTICAL_DEPTH	derive_static_optical_map_and_boundary_divergence
R11	ASYMPTOTIC_VERSUS_REGULAR_BOUNDARY	test_geometry_and_domain_status_without_second_seal
R12	ANGULAR_DIRECTION_BOUNDARY	test_what_axis_endpoints_mean_with_nonnegative_radius
R13	ONE_BOUNDARY_CONSTANT_LAMBDA_FLOW	derive_asymptotic_area_shape_limits_for_all_s
R14	FULL_COFRAME_LAMBDA_SELECTION	test_if_bound_or_display fixes_relative_angular_weight
R15	CSN_C_G_XMAX_SCALE	test_dimensional_scales_versus_dimensionless_lambda
R16	FINITE_CELL_BOOTSTRAP	test_for_executable_position_or_lambda_selector
