catch_id	mutation	expected	result
T01	Xmax_promoted_from_working_to_canon	REJECT	PASS_REJECTED
T02	endpoint_promoted_to_domain_point	REJECT	PASS_REJECTED
T03	signed_coordinate_called_negative_distance	REJECT	PASS_REJECTED
T04	tanh_uniqueness_false_positive	REJECT	PASS_REJECTED
T05	slope_matched_counterfamily_deleted	REJECT	PASS_REJECTED
T06	projective_premise_hidden	REJECT	PASS_REJECTED
T07	conditional_projective_result_promoted	REJECT	PASS_REJECTED
T08	coordinate_reach_called_proper_reach	REJECT	PASS_REJECTED
T09	optical_boundary_called_finite	REJECT	PASS_REJECTED
T10	three_metric_readouts_collapsed	REJECT	PASS_REJECTED
T11	coframe_reparametrization_dropped_Jacobian	REJECT	PASS_REJECTED
T12	coframe_covariance_promoted_to_H_selector	REJECT	PASS_REJECTED
T13	regularity_promoted_to_coordinate_selector	REJECT	PASS_REJECTED
T14	asymptotic_unattainability_promoted_to_area_BC	REJECT	PASS_REJECTED
T15	lambda_set_to_one	REJECT	PASS_REJECTED
T16	display_H_inserted_into_lambda_equation	REJECT	PASS_REJECTED
T17	nonunit_matched_branch_deleted	REJECT	PASS_REJECTED
T18	route_missing_or_duplicate	REJECT	PASS_REJECTED
T19	native_position_law_false_positive	REJECT	PASS_REJECTED
T20	maximum_conclusion_overstated	REJECT	PASS_REJECTED
