equation_id	source_id	scope	statement	role	kappa_dependency	physical_history_principal_rank	active_status	rationale
E01	S01	current premise registry	Registry assigns current epistemic status and precedence; it is not a field equation.	INACTIVE_OR_OPEN	none	0	ACTIVE_AUTHORITY	Authority metadata cannot supply a differential coefficient.
E02	S02	current research program	Program routes the next gate and protects scope; it does not constrain a metric history.	INACTIVE_OR_OPEN	none	0	ACTIVE_AUTHORITY	Workflow is not physics.
E03	S03	G155 whiteboard	Whiteboard proposes the scale-sector audit and possible architectures without adopting one.	INACTIVE_OR_OPEN	none	0	WORKING	A ranked question is not an equation.
E04	S04	founded reciprocal character	On supplied ordered depth D(delta)=diag(exp(-delta),exp(delta)).	REPRESENTATION_CONSTRAINT	absent	0	ACTIVE_DERIVED	The reciprocal character acts after depth is supplied and has no common-scale variable.
E05	S05	founded reciprocal derivation	Dual pairing plus composition fixes the nontrivial continuous reciprocal representation up to sign and unit.	REPRESENTATION_CONSTRAINT	absent	0	ACTIVE_DERIVED	This constrains a one-parameter representation, not g or kappa.
E06	S06	strong local CSN provenance	Strong common-scale neutrality was a separately adopted owner postulate and is now inactive.	INACTIVE_OR_OPEN	would_remove_common_scale	0	INACTIVE_CHALLENGED	Activating it would be a new premise, not a current equation.
E07	S07	Xmax semantics	Xmax is a working frame-shared positional asymptote with value and completion open.	CALIBRATION_OR_WORKING_FRAME	absent	0	WORKING	The semantic asymptote supplies no kappa profile or equation.
E08	S08	conceptual dependency audit	Configuration, readout, law, source, and scale types are separated; no response law is selected.	INACTIVE_OR_OPEN	none	0	ACTIVE_CLASSIFICATION	A type audit identifies the missing joint but does not fill it.
E09	S09	complete-pair orchestra	Complete supplied geometry can modulate relational depth; exact composition is a conditional cocycle constraint.	NETWORK_ADMISSIBILITY	supplied_value_and_path	0	ACTIVE_CONDITIONAL	It restricts compatible supplied pair data, not the ambient common-scale history.
E10	S10	terminal reciprocal cE evaluator	A supplied regular pair metric uniquely yields kappa_pair, phi_pair, beta, and conditional c_eff/c_E.	DEFINITION_OR_EVALUATOR	supplied_value	0	ACTIVE_DERIVED_CONDITIONAL	The formulas reconstruct common scale; they do not constrain its value.
E11	S11	complete time-live compatibility	Maurer-Cartan block identities evaluate arbitrary smooth B,Q,S coframe movies.	DEFINITION_OR_EVALUATOR	supplied_first_jets	0	ACTIVE_DERIVED_IDENTITY	Arbitrary time frequencies survive, so the identity has no history principal part.
E12	S12	finite-jet chart openness	The regular complete coframe chart and every finite-jet prolongation are locally open.	DEFINITION_OR_EVALUATOR	arbitrary_finite_jets	0	ACTIVE_NONSELECTION_THEOREM	This proves absence of a chart-generated history equation in its bounded source universe.
E13	S13	uncompressed pair evaluator	Full B,Q,S,Y,Z pullback and first variation evaluate a supplied history and pair realization.	DEFINITION_OR_EVALUATOR	supplied_value_and_first_jets	0	ACTIVE_DERIVED_CONDITIONAL	The external adjudication explicitly leaves physical history and pair ownership open.
E14	S14	copresent reciprocal causal consistency	Triangle descent is nonidentity on supplied edge data while causal and transport composition are evaluator identities.	NETWORK_ADMISSIBILITY	supplied_pair_edges	0	ACTIVE_CONDITIONAL	Two inequivalent regular temporal histories survive the gate.
E15	S15	G129 metric faithfulness	A rank-complete family of two-plane pullbacks reconstructs the supplied metric.	DEFINITION_OR_EVALUATOR	supplied_value	0	ACTIVE_DERIVED_CONDITIONAL	Faithful reconstruction is not generation or history selection.
E16	S16	G130 network ownership	Rank-complete relation data may encode a metric but present closure does not choose its values.	NETWORK_ADMISSIBILITY	supplied_value	0	ACTIVE_CONDITIONAL	Consistency cuts synthetic networks, not the space of smooth metric histories.
E17	S17	G131 terminal scalar faithfulness	All-plane terminal reciprocal scalars determine at most conformal information and are common-scale blind.	DEFINITION_OR_EVALUATOR	conformal_weight_zero	0	ACTIVE_DERIVED_CONDITIONAL	The scalar cannot supply a common-scale equation.
E18	S18	G132 scale owner and anchors	Fixed K normalizes the internal reciprocal carrier; c_E and G_obs are anchors without a supplied scale law.	CALIBRATION_OR_WORKING_FRAME	common_scale_open	0	ACTIVE_MIXED	Internal determinant normalization is not physical metric-volume ownership.
E19	S19	G133 two-density descent	Pair densities and their logarithmic differences descend when supplied areas obey overlap conditions.	NETWORK_ADMISSIBILITY	supplied_value	0	ACTIVE_DERIVED_CONDITIONAL	Density descent reconstructs scale data but does not choose it.
E20	S20	G134 full-metric area faithfulness	The bivector area bilinear is metric-faithful and metricity constrains independently assigned area networks.	NETWORK_ADMISSIBILITY	supplied_value	0	ACTIVE_DERIVED_CONDITIONAL	Every smooth metric supplies a compatible area network, so metricity is not a history equation.
E21	S21	G135 projective separation	The reciprocal projective coordinate is classified on supplied depth up to a constitution choice.	REPRESENTATION_CONSTRAINT	absent	0	ACTIVE_CONDITIONAL	Projective position is common-scale blind.
E22	S22	G136 tanh classification	Continuity, composition, reversal, boundedness, and calibration classify the normalized tanh chart.	REPRESENTATION_CONSTRAINT	absent	0	ACTIVE_DERIVED_CONDITIONAL	The theorem classifies a position representation, not kappa.
E23	S23	G137 position-Xmax join	chi=tanh(phi) is adopted as the working relational-position constitution with Xmax still unvalued.	CALIBRATION_OR_WORKING_FRAME	absent	0	WORKING_FOUNDATIONAL_FRAME	The adopted chart contains no common-scale equation.
