source_id	sha256	bytes	path
S01	0dd711b25cb6546fe78b27f1f62d3569dc8486cc5d41a24cda8f55db7ab1d450	186514	CURRENT_SCIENTIFIC_PREMISES.tsv
S02	d329f8cb227709309c4b3eb9e3e7cddea009320657c6d829a1504d1159206b4b	8711	CURRENT_RESEARCH_PROGRAM.md
S03	1a34b972d95b9f817c0470761fb4012458b224d553fc62a05c91591dcf990e03	8311	udt_g155_scale_sector_closure_whiteboard_2026-08-18/WHITEBOARD_SYNTHESIS.md
S04	65905b6b2718fd9c1057143a7148104bb14d7e65eeee3bdc7a7010af8cbe90eb	4319	udt_founding_phi_ownership_morphism_audit_2026-08-05/AUDIT_REPORT.md
S05	0d83baaaa9f0586cb3f3b0cd7af16b201996a124dba6a050c71624a2e638a4fd	8763	udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md
S06	98e8fd166e8257e4ad4e40695d05b198c6fc4c1342e39bcfeb013c230a14321d	6559	udt_common_scale_neutrality_provenance_audit_2026-07-24/AUDIT_REPORT.md
S07	8860dbefd6e99f4f9de966497f56022b268d2e0d1299383354b457d60480c638	4494	udt_xmax_asymptotic_limit_frame_correction_2026-08-05/STATUS_AND_WORKFLOW.md
S08	dd3c3adc245083bf25d9f41e7e8eaea73379fed5cb569f64f24698d44c3332df	10428	udt_conceptual_object_type_dependency_audit_2026-08-05/AUDIT_REPORT.md
S09	ed8f3039a2946a3bcde6400d166d730df4d9c444554a4e0846fcc51d500e46f9	5205	udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md
S10	a15c22901f5f8f9401fb53b04cff23a0b14c3c5f56ac7bb4f3b23882d247669e	4804	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md
S11	6380857ad4d7b133aededa11f79e7c1929913e9cdda900f62e901e92fd6fad61	2524	udt_complete_timelive_orchestra_compatibility_audit_2026-08-10/AUDIT_REPORT.md
S12	7426ca4a5d20d779d9c2df6df6f18071bb1bbba14213c26cb2d3e63c433f77c2	2718	udt_native_history_restriction_from_scratch_2026-08-10/AUDIT_REPORT.md
