source	role
founding.md	CURRENT_METRIC_AND_FOUNDING_BOUNDARY
CURRENT_SCIENTIFIC_PREMISES.tsv	CURRENT_EXACT_PREMISE_AUTHORITY
udt_g270_completed_pair_transported_screen_ownership_2026-08-26/AUDIT_REPORT.md	CURRENT_SCREEN_REALIZATION_BOUNDARY
udt_g271_primary_metric_null_screen_first_jet_interlock_2026-08-26/AUDIT_REPORT.md	CURRENT_NULL_SCREEN_INTERLOCK
udt_g273_projective_pair_distance_foundational_ownership_2026-08-26/AUDIT_REPORT.md	CURRENT_PROJECTIVE_STATE_BOUNDARY
udt_g274_projective_pair_position_network_descent_2026-08-26/AUDIT_REPORT.md	CURRENT_FRAME_CARRY_BOUNDARY
udt_g279_native_kernel_observational_interface_provenance_audit_2026-08-27/AUDIT_REPORT.md	CURRENT_NATIVE_KERNEL_PROVENANCE
udt_g286_complete_germ_propagation_discriminator_2026-08-28/AUDIT_REPORT.md	CURRENT_HISTORY_NONSELECTION_CONTROL
udt_g288_smooth_center_micro_regime_jet_interlock_2026-08-28/AUDIT_REPORT.md	CURRENT_PRIMARY_METRIC_CENTER_RESULT
native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	CONDITIONAL_TOPOLOGY_COMPARISON_ONLY
native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	CONDITIONAL_TOPOLOGY_STATUS_ONLY
udt_scientific_arc_recovery_checkpoint_2026-08-04/MASS_BRANCH_AUTHORITY_MAP.tsv	CURRENT_MASS_LANE_AUTHORITY_MAP
stability_branch_follow_256_DECISION.md	DURABLE_STABILITY_LANE_EVIDENCE_ONLY
