item	status	role_or_limit
current_complete_pair_kernel	DERIVED_CONDITIONAL	null/projective/frame-carried evaluator on supplied metric and realization
W1_completed_pair_dual_reciprocity	WORKING	provisional completed-pair normalization; not canon
W5_projective_pair_position	WORKING	owner-authorized provisional interpretation; not canon
four_dimensional_Lorentzian_readout	INHERITED_PLUS_DECLARED	supplies projectivized null cone
observer_field_and_spatial_frame	CHOSE_IF_USED	needed to identify each celestial fiber with one fixed component S2
historical_round_S2_carrier	POSIT	conditional comparison branch only
historical_L2_plus_L4_functional	CONDITIONAL_IMPORT	not derived from current kernel
historical_fixed_box_boundary	CHOSE_NUMERICALLY	not a physical UDT boundary
historical_static_stability	OBSERVED_CARRIER_CONDITIONAL	bounded finite-box evidence only
Hopf_charge_of_fixed_target_map	DERIVED_CONDITIONAL	integer after carrier/trivialization/boundary are supplied
metric_history	OPEN	must not be selected by a conditional carrier premise
matter_source_backreaction_time_law	OPEN_AND_OMITTED	outside G289
Planck_scale_physical_mass_Xmax_observation	OPEN_AND_OMITTED	outside G289
