id	object	status	exact_scope	remaining_open
R01	phi as dimensionless logarithmic reciprocal ratio	DERIVED_EXACT_DECOMPOSITION	positive dimension-matched comparison pair	physical realization of the pair inside the complete metric
R02	reciprocal exponential representation	DERIVED_CONDITIONAL	dual Reciprocity plus regular additive composition and chosen sign/unit	observer/local-field map
R03	phi(p) as signed local dilation field	OWNER_LOCKED_FOR_AUDIT	current premise-reset meaning	transformation law; equation; off-shell ownership
R04	phi under CSN	DERIVED_EXACT_NEUTRAL	common positive scaling of the comparison pair	internal-frame and global representative joins
R05	conditional diagonal-block reconstruction	DERIVED_CONDITIONAL	selected reciprocal clock/parallel coframe and readout	coordinate-free full-metric reconstruction
R06	complete metric uniquely owns or determines phi	NOT_DERIVED	all current post-firewall field/readout routes	configuration-space relation and selected reciprocal subbundle
R07	independent off-shell phi	OPEN	independent atlas branch is only a chosen control	field census; constraint; variation domain
R08	dependent metric/coframe phi	OPEN	compatible conditional realization	selection over other live routes
R09	static seal phi parity/value	CANONIZED_BINDING_STATIC_SCOPE	odd static phi; zero seal value; free normal derivative	complete coframe boundary and time law
R10	bootstrap phi-metric realization operator	NOT_PRESENT_IN_CURRENT_FOUNDATION	on-shell admissibility wording only	domain; operator; codomain; criterion
R11	Planck-length endpoint for phi	INVALID_DIMENSIONAL_IDENTIFICATION	phi dimensionless and no physical scale selected	possible later proper-length comparison after scale emergence
R12	time-live phi-metric solution-space solve	NOT_WELL_POSED_FROM_CURRENT_FOUNDATION	fields; equations; constraints; boundary; time law open	typed phi-metric configuration relation first
R13	overall audit result	PHI_KINEMATIC_MEANING_PARTIALLY_CLOSED__COMPLETE_METRIC_OWNERSHIP_OPEN	source-only post-firewall audit	no action; realization; dynamics; matter; mass; scale; or topology selected
