id	proposition	ruling	sources	exact_scope_or_premises	reason	what_is_not_claimed
O01	phi is dimensionless	DERIVED_EXACT_DECOMPOSITION	S01;S02	positive dimension-matched comparison factors u and v	phi equals one half log of the dimensionless ratio v over u	no physical length or absolute scale
O02	phi is the logarithmic reciprocal imbalance	DERIVED_EXACT_DECOMPOSITION	S01;S02	positive diagonal clock-ruler comparison pair	common scale and determinant-one imbalance separate algebraically	no observer mechanics or complete metric
O03	reciprocal exponentials u=exp(-phi) and v=exp(phi)	DERIVED_CONDITIONAL	S01;S03	dual Reciprocity; positive additive relative depth; composition; reversal; regularity; chosen sign and unit	continuous one-dimensional characters are exponential and uv=1	positional dilation itself remains FOUNDING and nontriviality OBSERVED
O04	phi(p) is a signed dilation field belonging to a location	OWNER_LOCKED_FOR_AUDIT	S04;S05	current premise-reset owner meaning	negative phi is allowed and is not negative distance	no equation; transformation law; or off-shell independence
O05	phi has a universally derived spacetime-scalar transformation law	NOT_DERIVED	S08;S11;S12	current post-firewall source set	later atlases explicitly assume an independent scalar/configuration branch and stamp the join open	owner use of field notation alone does not fix diffeomorphism or coframe behavior
O06	physical distance equals phi	REFUTED_BY_CURRENT_OWNER_MEANING	S04;S05	physical distance is nonnegative while phi is signed	the objects have different registered meanings	no formula relating distance to phi is supplied
O07	ordered observer comparison equals a difference of local phi values	OPEN_RELATION	S04;S05	signed ordered comparisons and signed local phi are separately retained	the premise reset explicitly leaves their exact comparison map open	kinematic additive depth notation does not prove the physical observer map
O08	phi is neutral under common positive scale	DERIVED_EXACT	S01;S02	(u,v) maps to (Omega u,Omega v) with Omega positive	the ratio v/u and hence phi are unchanged	no physical representative or scale is selected
O09	phi is the CSN gauge or representative variable	REFUTED_AS_STATED	S01;S02;S08	registered common-scale decomposition	Omega is the common calibrational direction while phi is the determinant-one direction left after quotienting	internal coframe gauge and global representative questions remain separate
O10	phi is reconstructible from the conditional diagonal reciprocal metric block	DERIVED_CONDITIONAL	S01;S03	chosen reciprocal clock/parallel slots; chosen diagonal Lorentzian readout; c_E normalization; sign/unit convention	phi equals one quarter log of g_parallel_parallel divided by minus g_tt over c_E squared and the common CSN factor cancels	no coordinate-free complete-metric reconstruction
O11	the arbitrary complete metric uniquely determines phi	NOT_DERIVED	S06;S07;S09;S10;S15;S16;S18	current complete foundation	full coframe; slot; readout; transverse block; and realization relation are unselected; allowed readouts can make phi visible or invisible	no theorem that a future completed metric cannot determine it
O12	the metric uniquely selects a reciprocal two-plane or coframe pair from which phi can be read	NOT_DERIVED_IN_REGISTERED_ENSEMBLE	S09;S10;S13;S15;S16	bounded local and coframe audits	metric-active curvature is generically fully mixing while flat/phi-only rows select every direction; global readout families remain multiple	bounded atlas is not an arbitrary-metric no-go
O13	phi is an independent off-shell variational field	OPEN	S06;S07;S08	current action and selector adjudications	metric-only; metric-plus-phi; coframe; multiplier; hard-constraint; restricted-tangent; and readout-only routes remain live	independent atlas control is not a field-census derivation
O14	phi is universally a dependent metric variable	OPEN	S06;S07;S10	current action and coframe adjudications	dependent reciprocal-block parametrizations are compatible but not selected over other live routes	conditional reconstruction does not settle configuration-space ownership
O15	static seal parity sends phi to minus phi and fixes phi=0 at the seal	CANONIZED_BINDING_STATIC_SCOPE	S01;S09	finite mirrored cell and static phi sector	odd parity at a fixed mirror gives zero value while the normal derivative remains free	no complete coframe lift; other-field boundary data; action; or time law
O16	the static seal supplies a phi equation of motion or time-live boundary problem	NOT_DERIVED	S01;S08;S09;S10	current static seal authority	one parity/value condition leaves dynamics; normal derivative; coframe tangent; and boundary functional open	no time-live propagation or conservation theorem
O17	current bootstrap supplies a phi-metric realization operator	NOT_PRESENT_IN_CURRENT_FOUNDATION	S14;S17	registered bootstrap wording	bootstrap is on-shell admissibility with no operator; functional; map; codomain; or acceptance/uniqueness criterion	future bootstrap completion may supply one
O18	current UDT supplies any native action or equation tying phi to the complete metric	OPEN_NOT_DERIVED	S06;S07;S08;S14;S17;S18	post-firewall action and realization audits	no unique field census; variation domain; source; boundary action; or realization relation is selected	conditional C-squared; EH; and narrow scalar equations are not promoted
O19	independent variation of ten metric amplitudes and phi in the July 21-22 atlases is physical ontology	CHOSE_OPEN_CONFIGURATION_BRANCH_NOT_PHYSICS	S11;S12;S13;S15	bounded atlas design	independence was deliberately introduced to map a broad configuration space and was explicitly stamped open	atlas results cannot decide the missing ownership relation
O20	phi-only flat atlas rows prove that phi cannot curve or organize the metric	REFUTED_AS_OVERSTATEMENT	S14;S15	registered independent-control ensemble	all ten metric amplitudes were zero in those rows and no realization relation fed phi back into the metric	no negative conclusion about a future native coupled realization
O21	phi can run from zero to a Planck length	DIMENSIONAL_CATEGORY_ERROR_AND_NOT_REGISTERED	S01;S02;S04	phi is dimensionless and signed; a Planck length is dimensionful	a length can label a proper-distance comparison only after a physical representative and dimensional anchors are supplied	no Planck cutoff; endpoint; or native scale selector
O22	a complete time-live phi-metric GPU solve is presently well posed	NOT_WELL_POSED_FROM_CURRENT_FOUNDATION	S06;S07;S14;S17;S18	the complete registered field/equation/boundary inventory	field ownership; native equations; constraint propagation; boundary completion; and physical time law remain open	conditional or kinematic comparison calculations remain possible if explicitly stamped
O23	the smallest missing datum before a solver is a typed phi-metric configuration-space relation	OPEN_PRECISELY_IDENTIFIED	S06;S07;S15;S17;S18	must state domain; codomain; CSN/internal-frame behavior; off-shell versus on-shell status; boundary domain; and acceptance criterion	without it the same symbols support inequivalent field counts and variations	this audit does not invent or select that relation
