catch_id	result	caught_by
C01_MISSING_ONTOLOGY_ROW	PASS_REJECTED	ontology_count_23
C02_DUPLICATE_ONTOLOGY_ID	PASS_REJECTED	ontology_count_23
C03_PROMOTE_INDEPENDENT_PHI	PASS_REJECTED	ruling:O13
C04_PROMOTE_COMPLETE_METRIC_RECONSTRUCTION	PASS_REJECTED	ruling:O11
C05_PROMOTE_PLANCK_ENDPOINT	PASS_REJECTED	ruling:O21
C06_MISLABEL_PHI_AS_CSN_GAUGE	PASS_REJECTED	ruling:O09
C07_REMOVE_REQUIRED_SOURCE	PASS_REJECTED	ontology_sources_nonempty:O10
C08_USE_PREFIREWALL_AFFIRMATIVELY	PASS_REJECTED	no_prefirewall_affirmative_use:O01
C09_PROMOTE_ATLAS_BRANCH_TO_PHYSICS	PASS_REJECTED	ruling:O19
C10_PROMOTE_SEAL_TO_EOM	PASS_REJECTED	ruling:O16
C11_DELETE_MODEL_LIMIT	PASS_REJECTED	model_limit:CM1_DEPENDENT_RECIPROCAL_COFRAME
C12_MISSING_CONFIGURATION_MODEL	PASS_REJECTED	model_count_5
C13_DUPLICATE_CONFIGURATION_MODEL	PASS_REJECTED	model_count_5
C14_PROMOTE_UNREVIEWED_CENSUS_ROW	PASS_REJECTED	adjudicated_exactly_lineage
C15_PROMOTE_TIME_LIVE_READY	PASS_REJECTED	ruling:O22
C16_SOURCE_HASH_MUTATION	PASS_REJECTED	lineage_sha:UDT_NATIVE_ACTION_COLD_PACKET.md
C17_BROKEN_RECIPROCAL_PAIR	PASS_REJECTED	dual_pairing_invariance
