path	git_blob	sha256	bytes	phi_token_occurrences	routing	review_status
.claude/skills/completeness-map/SKILL.md	b09b8ae35cec40db4cebd0f16decc8792fb660b2	8c32d77f33490750c20f9df121917ac4513cefe7662867bc61ea01f70c7c6e13	2262	1	OTHER_LITERAL_CANDIDATE	ROUTED_NOT_ADJUDICATED
.claude/skills/no-shortcuts/SKILL.md	97d546927d6c594c84f9402315d001ea88dc4d8a	20eb84d287795ed7f435eca50183a900cf82e4f7b417e0334fb1e8844dc83003	2288	1	OTHER_LITERAL_CANDIDATE	ROUTED_NOT_ADJUDICATED
AGENTS.md	9b395bdceb602739e6b96fdaf8b13f47e301be5a	e74024f82f6adf4aaed8ea15eb61d176a330abc574bc5495b43415335b3b25db	11819	1	CURRENT_CONTROL_OR_NAVIGATION	ROUTED_NOT_AFFIRMATIVE_SOURCE
AUDIT.md	6246eafd70861645fce959b4e7fb9c66bae3f07e	0e36df7cbd2e2198fa1a9785f6c8d9b5054fc42b24a1dfb1a44244ca331942ec	38255	80	OTHER_LITERAL_CANDIDATE	ROUTED_NOT_ADJUDICATED
CANON.md	a67e518b623c8715679b26d5736c7409e3ffcae3	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	35011	102	LOAD_BEARING	INDIVIDUALLY_ADJUDICATED
CLAUDE.md	eae6e334fcf36c977ab571201ca9e2ed3a8d5020	25838399458a34573fb4bc9dd4a211de8142eabb682ba382822aad57ba019b45	24250	5	CURRENT_CONTROL_OR_NAVIGATION	ROUTED_NOT_AFFIRMATIVE_SOURCE
CROSS_MODEL_VERIFY.md	95b60c08e0d55dcf2c3104fb9f14a130752cbff3	417bb036579bf4a333dab6a3da4c8cae73d61bf49ae8fe0f74b46df86d05e6fa	2839	6	OTHER_LITERAL_CANDIDATE	ROUTED_NOT_ADJUDICATED
F0_SYSTEMATIC_AUDIT_results.md	a2d7ffd103dc82d41922abcf5320bc8c50410f74	3293eab3af0c76c62ee2351b7554c116d1351e87c4ce5115fb9824cc959b2b7d	17598	28	OTHER_LITERAL_CANDIDATE	ROUTED_NOT_ADJUDICATED
F2_closure_results.md	53531541b574ac240a579a280425adf471974553	976edc403b9bcb7be392dbe48ae67d3eef051ae46f0ff5e43c061a5e38b9ad35	24252	20	OTHER_LITERAL_CANDIDATE	ROUTED_NOT_ADJUDICATED
F2_matter_action_forcedness_results.md	8f932eb8f1e6af4a83017bffeb0e82444875614a	1d1b852312615516910d489a67d9c9c8f445812678df19dbbe67e2b08cd2d1b2	20979	4	OTHER_LITERAL_CANDIDATE	ROUTED_NOT_ADJUDICATED
