catch_id	result	detected_by
F01_missing_readout	PASS_REJECTED	readout_universe;matrix_coverage
F02_complete_witness	PASS_REJECTED	complete_witness_invented
F03_local_called_global	PASS_REJECTED	local_called_global
F04_path_called_holonomy	PASS_REJECTED	LC_path_source_mismatch;path_called_holonomy
F05_holonomy_monodromy_conflated	PASS_REJECTED	T2_holonomy_source_mismatch;holonomy_monodromy_conflated
F06_FC11_toric	PASS_REJECTED	schema_partition:FC11_NONINTEGRABLE_DISTRIBUTION;FC11_toric_promotion
F07_stratum_smoothed	PASS_REJECTED	rank_stratum_smoothed
F08_null_boundary_complete	PASS_REJECTED	null_boundary_promoted
F09_temporal_phi_universal	PASS_REJECTED	schema_partition:FC01_BOUNDARY_BOUNDARY;temporal_phi_universalized
F10_Xmax_maximum	PASS_REJECTED	Xmax_called_maximum
F11_topology_covector	PASS_REJECTED	topology_covector
F12_Hopf_native	PASS_REJECTED	Hopf_carrier_promoted
F13_fixed_domain_complete	PASS_REJECTED	moving_boundary_omitted
F14_scale_selected	PASS_REJECTED	common_scale_promoted
F15_identity_closure	PASS_REJECTED	identity_called_closure
F16_partial_map_complete	PASS_REJECTED	complete_R_geom_invented
F17_bootstrap_operator	PASS_REJECTED	bootstrap_operator_invented
F18_source_gap_filled	PASS_REJECTED	source_gap_filled
F19_density_used	PASS_REJECTED	forbidden_downstream_work
F20_gpu_launched	PASS_REJECTED	forbidden_downstream_work
F21_source_drift	PASS_REJECTED	source_identity_drift
F22_unrelated_path	PASS_REJECTED	unrelated_path_changed
