relation_id	classification	domain_or_inputs	exact_consequence	physical_closure	source_basis
Q01	GEOMETRIC_IDENTITY	local_coframe_and_connection	does_not_select_global_readouts_or_physical_response	NO	S13
Q02	GEOMETRIC_IDENTITY	local_curvature_and_covariant_derivative	does_not_supply_dynamics_or_bootstrap	NO	S13;S14
Q03	COMPLETION_COMPATIBILITY	toric_connection_loop_and_global_lift	local_F_does_not_determine_holonomy_without_global_profile	NO	S12;S17
Q04	DISCRETE_CLASSIFICATION_RULE	primitive_cap_pair	p_abs_det_classifies_family_but_does_not_select_caps	NO	S05;S20
Q05	DISCRETE_CLASSIFICATION_RULE	GL2Z_glue_matrix	monodromy_defines_bundle_data_but_does_not_select_matrix	NO	S19
Q06	COMPLETION_COMPATIBILITY	reciprocal_exchange_and_declared_lift	symmetry_compatibility_leaves_all_twelve_classes_nonselected	NO	S18
Q07	GEOMETRIC_IDENTITY	constant_common_rescaling_or_normalized_H	ontology_scale_weights_and_invariants_do_not_select_physical_representative	NO	S01;S12;S18
Q08	COMPLETION_COMPATIBILITY	toric_lattice_profile_and_completion	stratified_wall_crossing_constrains_transport_but_selects_no_line_or_completion	NO	S07;S08;S21
Q09	SOURCE_GAP	not_defined_in_frozen_sources	no_imported_index_theorem_used_to_fill_gap	NO	NONE
Q10	NOT_DERIVED	complete_physical_state_vector_and_two_bootstrap_arrows_absent	self_consistency_word_does_not_define_fixed_point_operator	NO	S01;S14
