gate_id	gate	pass_requirement
M01	DEFINITION_STATUS	metric_native_or_explicitly_conditional_definition
M02	COMPLETE_METRIC_WITNESS	complete_profile_exists_on_the_completion_class
M03	DOMAIN_PROTOCOL	slice_region_path_loop_observer_or_operator_domain_typed
M04	REGULARITY_AND_STRATA	regular_singular_null_rank_change_and_tie_strata_explicit
M05	GLOBAL_DESCENT	boundary_cap_glue_monodromy_and_orientation_descent_complete
M06	ONTOLOGY_AND_SCALE	representative_common_scale_period_and_units_typed
M07	OFF_SHELL_OR_STRATIFIED_VARIATION	fixed_and_moving_domain_response_or_discrete_rule_explicit
M08	RECOMPUTATION_EVALUABILITY	component_of_R_geom_actually_computable_from_supplied_X_FC
M09	INVARIANCE	coordinate_frame_gauge_and_lattice_equivalence_typed
M10	AUTHORITY_STATUS	no_identity_or_conditional_schema_promoted_to_physical_closure
