claim_id	object	status	exact_scope	remaining_open
C01	completion_by_readout_atlas	DERIVED	12_registered_completions_x_17_preregistered_readout_types	complete_metric_witnesses_and_exhaustiveness_beyond_registered_taxonomy
C02	local_geometric_formulas	DERIVED	regular_metric_regions_with_typed_chart_or_coframe	global_realization_and_physical_response
C03	open_path_LC_vs_loop_holonomy_vs_Kato_transport	DERIVED	type_and_dependency_separation_on_supplied_paths_bundles_and_loops	complete_profile_values_and_global_descent
C04	T2_curvature_holonomy_vs_GL2Z_monodromy	DERIVED	toric_regions_with_supplied_connection_lattice_loop_and_lift	selected_global_connection_and_realized_holonomy
C05	cap_pair_and_monodromy_arithmetic	DERIVED	256_registered_cap_controls_and_8_registered_monodromy_controls	physical_selection_of_cap_or_glue_data
C06	R11_discrete_data	CONDITIONAL	family_schema_only_except_unavailable_FC11_and_stratified_FC10	realized_complete_branch_data
C07	completion_topology_labels	DERIVED	registered_FC_family_label_R16	selected_physical_topology
C08	temporal_phi_separation	DERIVED	everywhere_timelike_nonzero_dphi_complete_connected_level_branch	universal_Dg_and_physical_ruler
C09	Xmax	WORKING	observer_pair_supremum_type	observer_domain_event_pairing_native_Dg_attainment_and_value
C10	Hopf_Chern_winding_data	CONDITIONAL	supplied_map_or_bundle_period_orientation_and_boundary_class	native_carrier_selected_section_and_matter
C11	complete_R_geom	OPEN	zero_complete_metric_witnesses_in_registered_completion_table	complete_coherent_profile_domain_and_normalization
C12	nonidentity_physical_closure	OPEN	zero_of_10_tested_relations_pass_closure_gate	complete_R_geom_native_response_target_normalization_pairing_and_operator
C13	native_mass_energy_density	OPEN	not_used_in_this_audit	native_mass_energy_functional_and_density_to_geometry_response
C14	completion_selection	OPEN	all_registered_selectors_remain_nonselecting	selector_or_derived_incompatibility
