linkage_id	upstream_object	downstream_readouts	link_type	current_status
K01	complete_metric_or_coframe_profile	R01;R02;R03;R04;R05;R06;R07;R09;R10;R12;R13;R14;R15	REQUIRED_FOR_COMPLETE_REALIZATION	PROFILE_ABSENT_IN_ALL_12_CLASSES
K02	boundary_cap_glue_and_moduli	R02;R03;R04;R05;R06;R07;R08;R13;R16;R17	DOMAIN_DESCENT_AND_MOVING_VARIATION	TYPE_DATA_PRESENT__COMPLETE_GEOMETRY_AND_VARIATION_ABSENT
K03	smooth_projector_bundle_and_metric	R08	PATH_TRANSPORT	CONDITIONAL_EXACT_ON_SMOOTH_FIXED_RANK_PATHS
K04	integral_torus_bundle_and_lattice	R09;R10;R11;R12	TORIC_GLOBAL_DOMAIN	COMPLETION_DEPENDENT__ABSENT_GLOBALLY_IN_FC11
K05	cap_cycles_or_GL2Z_glue	R10;R11;R12;R16;R17	GLOBAL_CONSTRAINT	DISCRETE_RULES_AVAILABLE__NO_SELECTION
K06	torus_connection_S	R09;R10	CONTINUOUS_CONNECTION_DATA	LOCAL_SCHEMA_PRESENT__COMPLETE_PROFILE_AND_GLOBAL_LIFT_ABSENT
K07	normalized_angular_metric_H	R12	ANGULAR_NORM_DATA	CONDITIONAL_PROFILE__PHYSICAL_SCALE_OPEN
K08	metric_phi_timelike_nonzero_dphi_and_complete_levels	R14	CAUSAL_BRANCH_CONDITION	CONDITIONAL_DEFINITION__NO_COMPLETE_BRANCH
K09	observer_domain_event_pairing_and_native_Dg	R15	RELATIONAL_PROTOCOL	OPEN_TYPE_GAP
K10	carrier_or_bundle_map_and_boundary_class	R17	CONDITIONAL_TOPOLOGICAL_DATA	POSIT_OR_SUPPLIED_ONLY
K11	complete_R_geom_A_of_X_O_target_normalization_and_pairing	physical_bootstrap_closure	MISSING_CLOSURE_INPUTS_AND_OPERATOR	NOT_DERIVED_BY_ANY_REGISTERED_LINKAGE
