relation_id	candidate_relation	expected_type_to_test
Q01	Cartan_structure_and_zero_torsion	LOCAL_GEOMETRIC_IDENTITY
Q02	first_and_second_Bianchi	LOCAL_DIFFERENTIAL_IDENTITY
Q03	torus_gauge_curvature_and_holonomy	LOCAL_TO_GLOBAL_COMPATIBILITY
Q04	cap_pair_determinant_and_topology_family	DISCRETE_CLASSIFICATION_RULE
Q05	GL2Z_monodromy_and_bundle_gluing	DISCRETE_GLOBAL_COMPATIBILITY
Q06	Reciprocity_exchange_and_seal_parity	SYMMETRY_COMPATIBILITY
Q07	common_scale_weights_and_normalized_invariants	ONTOLOGY_OR_SCALE_IDENTITY
Q08	systole_wall_crossing_and_global_character_transport	STRATIFIED_GLOBAL_COMPATIBILITY
Q09	integrated_curvature_topology_relation	SOURCE_GAP_CONTROL
Q10	bootstrap_fixed_point_between_geometric_readouts	PHYSICAL_CLOSURE_CANDIDATE
