contract_id	forbidden_promotion_or_failure	required_result
F01	missing_duplicate_or_generated_completion_readout_gate_or_relation	REJECT
F02	parametric_completion_schema_called_complete_metric_witness	REJECT
F03	local_tensor_called_global_invariant	REJECT
F04	open_path_transport_called_loop_holonomy	REJECT
F05	continuous_holonomy_conflated_with_discrete_monodromy	REJECT
F06	toric_readout_assigned_to_nontoric_FC11_without_new_integral_lattice	REJECT
F07	fine_projector_or_systole_called_smooth_through_rank_or_tie_stratum	REJECT
F08	boundary_measure_called_complete_on_null_or_unsupplied_boundary	REJECT
F09	conditional_temporal_phi_distance_called_universal_Dg	REJECT
F10	Xmax_supremum_called_attained_maximum	REJECT
F11	discrete_topology_label_called_off_shell_covector	REJECT
F12	conditional_Hopf_data_called_native_unconditional_carrier	REJECT
F13	fixed_domain_map_called_complete_under_boundary_glue_or_modulus_variation	REJECT
F14	conformal_or_common_scale_dependence_silently_removed	REJECT
F15	identity_compatibility_or_classification_rule_called_physical_closure	REJECT
F16	conditional_component_maps_called_complete_R_geom_or_physical_state_vector	REJECT
F17	bootstrap_word_used_to_invent_fixed_point_operator_target_or_normalization	REJECT
F18	source_gap_filled_from_familiar_external_theorem_without_new_preregistration	REJECT
F19	density_mass_energy_action_carrier_boundary_functional_or_completion_selected	REJECT
F20	PDE_time_live_GPU_fit_canon_or_navigation_edit_launched	REJECT
F21	preregistration_or_source_identity_drift	REJECT
F22	frozen_historical_or_unrelated_path_changed	REJECT
