completion_id	base_type	global_mechanism
FC01_BOUNDARY_BOUNDARY	FINITE_INTERVAL	TWO_PHYSICAL_BOUNDARIES
FC02_ONE_CAP_BOUNDARY	FINITE_INTERVAL	ONE_PRIMITIVE_CAP_ONE_BOUNDARY
FC03_TWO_CAP_P0	FINITE_INTERVAL	TWO_DEPENDENT_PRIMITIVE_CAPS
FC04_TWO_CAP_P1	FINITE_INTERVAL	TWO_UNIMODULAR_PRIMITIVE_CAPS
FC05_TWO_CAP_P_GT1	FINITE_INTERVAL	TWO_GENERAL_PRIMITIVE_CAPS
FC06_NONPRIMITIVE_CAP	FINITE_INTERVAL	NONPRIMITIVE_OR_SINGULAR_CAP
FC07_PERIODIC_TORUS_BUNDLE	PERIODIC_BASE	GL2Z_MAPPING_TORUS
FC08_MIRROR_DOUBLE	DOUBLED_INTERVAL	MIRROR_OR_REFLECTION_LIFT
FC09_NONORIENTABLE_GLUE	PERIODIC_OR_QUOTIENT	ORIENTATION_REVERSING_GLUE
FC10_STRATIFIED_PROJECTOR	FINITE_OR_PERIODIC	PROJECTOR_RANK_TRANSITION
FC11_NONINTEGRABLE_DISTRIBUTION	FINITE_OR_PERIODIC	ANHOLONOMIC_NO_ORBIT_SURFACE
FC12_RECIPROCAL_TORIC_DIAGONAL	FINITE_INTERVAL	CONDITIONAL_FIXED_INTEGRAL_T2_CONTROL
