premise_id	premise	status	use	not_supplied
L01	complete_UDT_metric_or_coframe	DERIVED_LOCAL_SCOPED	readout_definitions	complete_on_shell_global_profiles
L02	twelve_completion_registry	DERIVED_BOUNDED_TAXONOMY	global_domain_cases	selection_or_witness_for_each_class
L03	observer_frame_Reciprocity	PINNED_BY_THEORY	symmetry_compatibility	physical_state_or_target
L04	finite_cell_structure	PINNED_BY_THEORY	completion_domain	boundary_functional_or_preferred_glue
L05	static_phi_seal	PINNED_SCOPED	parity_and_level_data	complete_angular_lift_or_moving_response
L06	strong_local_CSN	CHALLENGED_OPEN	weight_and_ontology_control	physical_representative_selection
L07	nonlinear_Cartan_atlas	DERIVED_LOCAL_SCOPED	local_geometric_wiring	physical_response_or_complete_branch
L08	toric_lattice_and_connection	CONDITIONAL_ON_TORIC_REGION	angular_global_objects	universal_toric_structure
L09	temporal_phi_separation	DERIVED_CONDITIONAL_BRANCH	relational_component	universal_Dg_or_selected_ruler
L10	Xmax_supremum	WORKING_TYPE_SCHEMA	global_extremum_type	Dg_finiteness_attainment_or_value
L11	bootstrap_mutual_tuning	OWNER_STATED_WORKING	relation_candidate	component_list_maps_or_normalization
L12	native_mass_and_energy	OPEN_NOT_INPUT	stop_gate	functional_variation_or_density
L13	conditional_carrier_and_Hopf_data	POSIT_CONDITIONAL	comparison_component	native_carrier_or_complete_matter
L14	Lambda_CDM_density_center	IMPORTED_COMPARISON_ANCHOR_DEFERRED	out_of_scope	no_present_use
L15	action_boundary_functional_and_dual_pairing	OPEN_NOT_INPUT	stop_gate	dynamics_or_physical_response
