source_id	path	role	size_bytes	sha256
S01	udt_native_global_observable_closure_census_2026-07-26/AUDIT_REPORT.md	controlling_observable_census_and_assembly_blockers	6991	8df87a2d5d99f9f95fe60e8987348f61575f593b53a19a0a4a99093a76e68114
S02	udt_native_global_observable_closure_census_2026-07-26/OBSERVABLE_GATE_MATRIX.tsv	corrected_candidate_statuses_and_partial_maps	9353	edbdcb0970a3bb1f07ee21ceb09e0beb139985525bf716dc7a88e7f46b898569
S03	udt_native_global_observable_closure_census_2026-07-26/NEXT_STEP.md	authorized_bounded_followup	1689	558be49047fd78e1a751f2bbd3b391720f8df5b76c1d131ee7725596a9334137
S04	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	completion_transport_holonomy_and_selector_taxonomy	14055	7a596530a78a75aec03bac6f35db31ebe534e0115ca51dda64acffd0c781844a
S05	udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	twelve_completion_authority	2608	73d9f21e31d74c174dc173e03ddd27f8689c376170959d8419004f225bed73e6
S06	udt_global_metric_assembly_atlas_2026-07-22/MOTIF_COMPLETION_ATLAS.tsv	motif_completion_requirements	15662	5319ef65da9f8a6dcf610ebfaee2a5ad8502f639e290eaea34c9cb8c8c0e33ad
S07	udt_dual_systole_global_transport_audit_2026-07-24/AUDIT_REPORT.md	systole_and_completion_transport	5188	a60dbce9e8908436b5038001be015c6a8b9d019cb74256cf63091f3f92f54582
S08	udt_dual_systole_wall_crossing_selector_audit_2026-07-24/AUDIT_REPORT.md	tie_and_selector_obstruction	6238	af46acd9d3a400861155762ee2ae4a7b1166b41ebf6a6810e5069ca50dc6a97a
S09	udt_free_global_seal_transversality_audit_2026-07-21/AUDIT_REPORT.md	moving_boundary_and_functional_dependence	10302	51c756fff55876b65d342dd075b6f215c20ad9af4b1767ccb20efdae1a9cc5a1
S10	udt_two_observer_separation_selector_audit_2026-07-24/AUDIT_REPORT.md	conditional_temporal_phi_separation	4418	d4179f8849554af98c559bc3806f87b7a4eb088641a0b0994e8043d43d0b6dcc
S11	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md	Xmax_supremum_type	3613	0e7d4f0b8a9e70a2f45fac494ce737fa4d0deaf4824940953377fa39f345c3ee
S12	udt_pre_density_substrate_response_atlas_2026-07-24/AUDIT_REPORT.md	toric_metric_connection_and_readouts	8983	8f3a3947ce8421b53c95285266421f45df354c2bb5a6f96c6c5d6129e89f7d5a
S13	udt_nonlinear_cartan_bianchi_ensemble_atlas_2026-07-26/AUDIT_REPORT.md	local_nonlinear_geometry_and_identity_limit	3412	152e3a15962d4d4e329160a7b73927efeeaa4afa8f0c65fe5f14f5dc8f8e7145
S14	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	identity_vs_response_and_closure_requirements	8153	61c0f3301d3b9f1105611efc23d81a8c58cb96f855745757dafaba29c8aba0cd
S15	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	conditional_topology_and_carrier_scope	10290	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea
S16	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	provenance_and_status_constraints	64408	fb2f2e17f6d4ec7d3b263afdcbbd810ac0d4b6f5cbe56b75cb2d3da2397c6a1c
