readout_id	readout_family	readout_type
R01	local_Riemann_Ricci_Weyl_scalar_Cartan	LOCAL_TENSOR_AND_SCALAR
R02	spacetime_four_volume	CONDITIONAL_GLOBAL_MEASURE
R03	spatial_proper_volume	CONDITIONAL_GLOBAL_MEASURE
R04	nonnull_boundary_cap_corner_joint_measures	BOUNDARY_AND_STRATUM_GEOMETRY
R05	integrated_metric_curvature_functionals	UNSELECTED_GLOBAL_FUNCTIONAL_FAMILY
R06	open_path_Levi_Civita_transport	PATH_ENDPOINT_MAP
R07	based_loop_Levi_Civita_holonomy_and_conjugacy	LOOP_GLOBAL_GEOMETRY
R08	projector_Kato_transport	METRIC_BUNDLE_TRANSPORT
R09	local_torus_connection_curvature_F	LOCAL_CONNECTION_CURVATURE
R10	continuous_torus_connection_holonomy	LOOP_GLOBAL_CONNECTION_DATA
R11	integral_lattice_monodromy_and_cap_cycle_data	DISCRETE_AND_GLUE_DATA
R12	angular_character_norm_length_systole_and_argmin	STRATIFIED_ANGULAR_GEOMETRY
R13	cell_length_seal_position_and_continuous_moduli	CONTINUOUS_GLOBAL_MODULI
R14	conditional_temporal_phi_intrinsic_separation	RELATIONAL_BRANCH_GEOMETRY
R15	universal_observer_separation_and_Xmax_supremum	OPEN_RELATIONAL_GLOBAL_TYPE
R16	completion_orientation_and_topology_labels	DISCRETE_GLOBAL_LABELS
R17	conditional_Hopf_Chern_winding_degree_data	CONDITIONAL_TOPOLOGICAL_DATA
