completion_id	local_formula_schema_entries	conditional_or_parametric_schema_entries	discrete_classification_schema_entries	unavailable_schema_entries	unselected_family_entries	total_readout_entries	complete_metric_witnesses	complete_R_geom_status	selection_status
FC01_BOUNDARY_BOUNDARY	2	11	2	1	1	17	0	NOT_AVAILABLE_NO_COMPLETE_METRIC_WITNESS	REGISTERED_ALTERNATIVE
FC02_ONE_CAP_BOUNDARY	2	11	2	1	1	17	0	NOT_AVAILABLE_NO_COMPLETE_METRIC_WITNESS	REGISTERED_ALTERNATIVE
FC03_TWO_CAP_P0	2	11	2	1	1	17	0	NOT_AVAILABLE_NO_COMPLETE_METRIC_WITNESS	REGISTERED_ALTERNATIVE
FC04_TWO_CAP_P1	2	11	2	1	1	17	0	NOT_AVAILABLE_NO_COMPLETE_METRIC_WITNESS	UNIQUE_ONLY_INSIDE_SUPPLIED_OPPOSITE_EIGENCIRCLE_PREMISES
FC05_TWO_CAP_P_GT1	2	11	2	1	1	17	0	NOT_AVAILABLE_NO_COMPLETE_METRIC_WITNESS	REGISTERED_ALTERNATIVE
FC06_NONPRIMITIVE_CAP	2	11	2	1	1	17	0	NOT_AVAILABLE_NO_COMPLETE_METRIC_WITNESS	RETAINED_MATHEMATICAL_BRANCH
FC07_PERIODIC_TORUS_BUNDLE	2	11	2	1	1	17	0	NOT_AVAILABLE_NO_COMPLETE_METRIC_WITNESS	REGISTERED_GLOBAL_ALTERNATIVE_NOT_CURRENT_PHYSICAL_CELL_WITHOUT_EXTRA_JOIN
FC08_MIRROR_DOUBLE	2	11	2	1	1	17	0	NOT_AVAILABLE_NO_COMPLETE_METRIC_WITNESS	MULTIPLE_REGISTERED_LIFTS
FC09_NONORIENTABLE_GLUE	2	11	2	1	1	17	0	NOT_AVAILABLE_NO_COMPLETE_METRIC_WITNESS	REGISTERED_ALTERNATIVE_UNLESS_ORIENTATION_ADDED
FC10_STRATIFIED_PROJECTOR	2	12	1	1	1	17	0	NOT_AVAILABLE_NO_COMPLETE_METRIC_WITNESS	RETAINED_NOT_FILTERED
FC11_NONINTEGRABLE_DISTRIBUTION	1	9	1	5	1	17	0	NOT_AVAILABLE_NO_COMPLETE_METRIC_WITNESS	RETAINED_NOT_TORIC_ORBIT
FC12_RECIPROCAL_TORIC_DIAGONAL	2	11	2	1	1	17	0	NOT_AVAILABLE_NO_COMPLETE_METRIC_WITNESS	CONDITIONAL_CONTROL_NOT_SELECTED
