sha256	relative_path	role
186f60e198783e0bed197e20b59c9cca8516e4f51e53caadd1d491057e96b37b	udt_g323_g320_unmarked_taub_quotient_classification_2026-09-01/EXACT_DERIVATION.md	explicit metric global argument and modulus
48e34aea67061103a2c7075b0e4e2184d8979ab5b04bc3ef803e43cea27de295	udt_g323_g320_unmarked_taub_quotient_classification_2026-09-01/DERIVATION_RESULT.json	accepted upstream machine result
dc18180ca4e10c589ea7aa1dc145680edf5a66c50c482fb66ad8ae04596c615c	udt_g323_g320_unmarked_taub_quotient_classification_2026-09-01/QUOTIENT_ATLAS.tsv	registered modulus controls
3225cf337f9e2075ed4268502c9bb47f4e8919c4cae97b0aeb7b894029866567	udt_g323_g320_unmarked_taub_quotient_classification_2026-09-01/PREMISE_LEDGER.tsv	upstream ownership
fd9b0183e770574db090a7187fa30436746ecfb8d4eef14f0d39dafbcf7aee0d	udt_g323_g320_unmarked_taub_quotient_classification_2026-09-01/COMPLETENESS_MAP.md	upstream scope
2d7f0a13dc372f9df7fc476c82522f314951f677f0a43b3d16bfdb1d8efc0d4d	udt_g323_g320_unmarked_taub_quotient_classification_2026-09-01/STATUS_LEDGER.tsv	accepted status boundary
c4414270b3a31f81b51940b134a0daf754b3d9b9512b65439229edfec1944207	udt_g323_g320_unmarked_taub_quotient_classification_2026-09-01/EXTERNAL_REPAIR_FOLLOWUP_RESPONSE.md	external acceptance boundary
7bf6a0c7b86a2c74cf63c0945640daed261c28e787254b323dcd51f1dafb6d98	udt_g322_g321_maximal_globally_hyperbolic_development_2026-09-01/EXACT_DERIVATION.md	per-datum MGHD interface
9856304eb589b01ae58a6fbf429210bb3edd490d672a2ac114fec078f7c1bfb5	udt_g322_g321_maximal_globally_hyperbolic_development_2026-09-01/S09_PRIMARY_ABSTRACT_EVIDENCE.json	maximal-Cauchy theorem evidence
57fe041f57ad3ad4abfc08832b5aaf0567f521f9cbf847164cd3f6fbf4290168	udt_g322_g321_maximal_globally_hyperbolic_development_2026-09-01/PREMISE_LEDGER.tsv	MGHD premise ownership
921ff8270414c2c397a87191918bae9837d665e7f4e8a9485b7820e2a5ddcc9b	udt_g322_g321_maximal_globally_hyperbolic_development_2026-09-01/STATUS_LEDGER.tsv	MGHD accepted boundary
7d35769b5544627e0595d639027681751d97a734dc54e93ddbcd2b8ce9ee09b3	udt_g322_g321_maximal_globally_hyperbolic_development_2026-09-01/EXTERNAL_REPAIR_FOLLOWUP_RESPONSE.md	MGHD external acceptance
