object	status	exact_scope_or_premises	what_is_not_claimed
founded_local_pair	DERIVED_CONDITIONAL	Reciprocal_c;dual_Reciprocity;composition;declared_local_readout	global_pair_section
ordered_pair_projector_family	DERIVED_CONDITIONAL	supplied_u_n_and_real_lambda	selection_of_u_n_or_lambda
screen_SO2_descent	DERIVED_EXACT	scalar_screen_X_lambda_and_D_lambda	full_oriented_screen_coframe
pathwise_pair_transport	DERIVED_GIVEN_INPUTS	complete_metric;initial_pair;regular_path	path_or_complete_branch_selection
pair_frame_path_groupoid	DERIVED_CONDITIONAL_KINEMATICS	path_labelled_objects_and_explicit_vertical_pair_changes	bare_event_endpoint_groupoid
middle_frame_mismatch	RESOLVED_AS_TYPE_ERROR_WHEN_OMITTED	vertical_pair_arrow_required_if_pair_is_reset	physical_reset_selected
full_reciprocal_comparison	CONDITIONAL_EXACT	metric_path_transport_plus_additive_signed_depth_cocycle	metric_native_depth_derived
Levi_Civita_as_depth_source	REFUTED_AS_TYPE_MATCH	metric_isometry_cannot_equal_nonzero_aligned_reciprocal_dilation	other_metric_native_depth_functionals
endpoint_only_real_depth	POTENTIAL_DIFFERENCE_THEOREM	exact_additivity_and_reversal_on_all_endpoint_triangles	universal_isotropic_distance_magnitude
path_integrated_depth	AVAILABLE_CONDITIONAL	one_form_integral_on_path_groupoid	selected_native_one_form_or_endpoint_independence
nonzero_real_depth_period	VISIBLE_RECIPROCAL_HOLONOMY	faithful_positive_exponential_character	physical_nonzero_period_exists
bare_event_collapse	OBSTRUCTED_WITHOUT_SECTION_OR_QUOTIENT	no_lambda_removes_all_observer_and_ruler_dependence	path_labelled_relational_consistency
lambda	OPEN_UNSELECTED	typed_composition_exact_for_all_real_lambda	lambda_one_or_zero_promoted
metric_native_signed_depth_cocycle	OPEN_SMALLEST_KINEMATIC_JOIN	must_assign_depth_to_typed_pair_frame_arrows_without_fitting	profile_scale_Xmax_or_bootstrap
complete_metric_branch_path_and_cut_locus	OPEN	pathwise classification_only	global_universe_selected
action_source_carrier_boundary_density_bootstrap_mass_dynamics	OPEN_UNCHANGED	excluded	physics_closure

