path	positive_capability	limitation_for_this_audit
CURRENT_SCIENTIFIC_PREMISES.md	current_precedence_and_pair_action_status	physical_observer_path_assignment_open
CURRENT_SCIENTIFIC_PREMISES.tsv	exact_G01_G02_G08_guards	no_new_global_section
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	founded_character_composition_and_declared_local_readout	complete_global_pair_law_open
udt_founded_pair_global_alignment_audit_2026-07-26/AUDIT_REPORT.md	intrinsic_local_pair_and_complete_extension_typing	global_pair_assembly_and_screen_response_open
udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	abstract_operator_and_metric_transport_distinction	physical_depth_join_open
udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	observer_indexed_depth_type_and_global_scalar_distance_obstruction	F_orientation_and_transition_open
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/AUDIT_REPORT.md	ordered_pair_projector_X_lambda_and_screen_gauge	lambda_and_global_codomain_unselected
udt_observer_pair_triangle_consistency_audit_2026-07-26/AUDIT_REPORT.md	middle_transition_formula_and_lambda_one_conditional_flat_route	pair_frame_objects_not_yet_used_to_retype_mismatch
udt_reciprocal_transport_holonomy_atlas_2026-07-26/AUDIT_REPORT.md	pathwise_conjugacy_and_centralizer_conditions	no_join_to_additive_depth_character
udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	local_Lorentz_reciprocity_and_nonabelian_composition	no_global_observer_recentring

