catch_id	mutation_that_must_fail	reason
C01	compose_arrows_with_different_middle_pair_frames_without_vertical_transition	typed_groupoid_objects_must_match
C02	claim_screen_SO2_changes_X_lambda	scalar_screen_projector_commutes_with_screen_rotations
C03	select_lambda_from_typed_path_composition	conjugation_and_exponentiation_are_lambda_uniform
C04	claim_Levi_Civita_transport_generates_a_nonzero_depth_character	metric_isometry_and_physical_reciprocal_dilation_are_distinct_types
C05	call_an_inserted_additive_depth_cocycle_metric_derived	physical_depth_assignment_is_currently_open
C06	deny_endpoint_cocycle_potential_representation	basepoint_construction_is_exact
C07	erase_a_nonzero_real_depth_period	positive_exponential_character_is_faithful
C08	call_noncentralizing_two_path_outputs_endpoint_identical	holonomy_conjugates_the_pair
C09	collapse_pair_frame_objects_to_events_without_a_section_or_quotient	forgets_observer_and_ruler_data
C10	promote_pathwise_consistency_to_flatness	path_groupoid_allows_holonomy
C11	use_nonnegative_symmetric_distance_as_signed_reversal_odd_depth_without_orientation	types_are_incompatible_except_zero
C12	derive_action_source_density_or_dynamics_from_kinematic_groupoid	excluded_physics

