path	registered_use	known_limit
CURRENT_SCIENTIFIC_PREMISES.md	current_founded_pair_and_open_global_assignment_precedence	no_global_pair_section_or_depth_profile
CURRENT_SCIENTIFIC_PREMISES.tsv	exact_G01_G02_G08_status	operational_overlay_not_canon
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	abstract_pair_character_and_local_declared_readout	global_observer_path_assignment_open
udt_founded_pair_global_alignment_audit_2026-07-26/AUDIT_REPORT.md	local_pair_alignment_and_mixed_readout_regrade	global_pair_assembly_open
udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	abstract_ordered_pair_operator_and_transport_type_distinction	physical_depth_realization_open
udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	bilocal_depth_type_global_scalar_obstruction_and_cut_locus	F_signed_lift_and_transition_open
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/AUDIT_REPORT.md	ordered_pair_projector_family_and_screen_lambda	lambda_and_global_codomain_unselected
udt_observer_pair_triangle_consistency_audit_2026-07-26/AUDIT_REPORT.md	middle_transition_and_endpoint_groupoid_classification	predates_corrected_local_pair_authority
udt_reciprocal_transport_holonomy_atlas_2026-07-26/AUDIT_REPORT.md	pathwise_conjugacy_and_holonomy_centralizers	depth_cocycle_not_joined
udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	local_frame_reciprocity_and_nonabelian_angular_composition	global_observer_recentring_open

