route_id	object_or_question	outcome	grade	conclusion
R01	ordered_pair_projector_endomorphism	PAIR_FRAME_OBJECT_WELL_DEFINED	DERIVED_CONDITIONAL	X_lambda_is_covariantly_determined_by_supplied_orthonormal_u_n
R02	screen_SO2_quotient	AMBIGUITY_DROPS_OUT	DERIVED_EXACT	All_screen_rotations_fix_X_lambda_and_its_finite_character
R03	metric_path_transport	COVARIANT_CONJUGACY_FOR_ALL_LAMBDA	DERIVED_GIVEN_METRIC_PATH_AND_INITIAL_PAIR	No_lambda_restriction_from_typed_path_transport
R04	pair_frame_path_groupoid_composition	EXACT_TYPED_COMPOSITION	DERIVED_EXACT	Conjugation_composes_and_reverses_when_middle_pair_objects_match
R05	pair_reset_at_intermediate_event	VERTICAL_ARROW_REQUIRED_AND_SUFFICIENT	DERIVED_EXACT	The_old_middle_mismatch_is_the_omitted_vertical_pair_change
R06	additive_path_depth	CONDITIONAL_FULL_COMPARISON_COCYCLE	CONDITIONAL	T_gamma_equals_U_gamma_D_delta_composes_for_every_lambda_if_delta_is_additive
R07	endpoint_only_depth	POTENTIAL_DIFFERENCE	DERIVED_TYPE_THEOREM	Every_real_endpoint_only_additive_cocycle_is_phi_B_minus_phi_A_up_to_constant
R08	path_integrated_depth	COMPOSES_FOR_ANY_ONE_FORM;PATH_INDEPENDENCE_REQUIRES_ZERO_PERIODS	DERIVED_TYPE_CLASSIFICATION	Closedness_controls_local_endpoint_independence_and_zero_periods_control_global_independence
R09	reciprocal_loop_period	NONZERO_PERIOD_VISIBLE	DERIVED_EXACT	The_positive_real_exponential_character_has_no_nonzero_identity_period
R10	bare_event_collapse	REQUIRES_SECTION_OR_HOLONOMY_REDUCTION	DERIVED_OBSTRUCTION	No_lambda_removes_both_observer_and_ruler_dependence
R11	lambda_selection	NO_SELECTION	DERIVED_NONSELECTION	Typed_pair_frame_composition_is_exact_for_all_lambda
R12	remaining_native_object	METRIC_NATIVE_SIGNED_DEPTH_COCYCLE	OPEN_SHARPENED_GATE	Levi_Civita_transport_is_isometric_and_does_not_generate_nonzero_reciprocal_depth

