catch_id	mutation_that_must_fail	result	exercised_by
C01	compose_arrows_with_different_middle_pair_frames_without_vertical_transition	PASS	production_generic_direction_reset_without_vertical_mismatches
C02	claim_screen_SO2_changes_X_lambda	PASS	production_and_independent_screen_commutation
C03	select_lambda_from_typed_path_composition	PASS	production_all_real_and_independent_five_lambda_composition
C04	claim_Levi_Civita_transport_generates_a_nonzero_depth_character	PASS	production_reciprocal_character_is_Lorentz_only_at_zero_depth
C05	call_an_inserted_additive_depth_cocycle_metric_derived	PASS	verify_audit_depth_authority_mutation
C06	deny_endpoint_cocycle_potential_representation	PASS	production_basepoint_reconstruction_and_independent_125_triangles
C07	erase_a_nonzero_real_depth_period	PASS	production_and_independent_faithful_character
C08	call_noncentralizing_two_path_outputs_endpoint_identical	PASS	production_and_independent_base_holonomy
C09	collapse_pair_frame_objects_to_events_without_a_section_or_quotient	PASS	production_no_lambda_and_verify_audit_bare_event_mutation
C10	promote_pathwise_consistency_to_flatness	PASS	production_nontrivial_holonomy_exact_reversal
C11	use_nonnegative_symmetric_distance_as_signed_reversal_odd_depth_without_orientation	PASS	production_and_independent_symmetric_odd_zero
C12	derive_action_source_density_or_dynamics_from_kinematic_groupoid	PASS	verify_audit_physics_mutation

