object	mathematical_type	minimum_input	composition_status	physical_authority
bare_event	point_of_spacetime	x	insufficient_for_nontrivial_reciprocal_pair	NOT_THE_CORRECT_COMPLETE_OBJECT_BY_ITSELF
ordered_pair_frame	SOplus_1_3_over_SO2_fiber_point	x;future_unit_u;unit_n_orthogonal_to_u	X_lambda_defined_mod_screen_SO2	DERIVED_CONDITIONAL_INPUT_TYPE
pair_endomorphism	metric_self_adjoint_endomorphism	ordered_pair_frame;lambda	covariant_under_Lorentz_conjugation	DERIVED_FAMILY_LAMBDA_OPEN
metric_path_arrow	path_groupoid_arrow	complete_metric;regular_path	U_beta_circle_alpha_equals_U_beta_U_alpha	DERIVED_GIVEN_INPUTS
vertical_pair_arrow	fiber_groupoid_arrow	two_ordered_pairs_at_same_event	resolves_pair_reset_exactly	DERIVED_TYPE_FULL_SCREEN_MAP_GAUGE_REMAINS
signed_depth_arrow	real_additive_1_cocycle	physical_depth_assignment	delta_beta_circle_alpha_equals_delta_beta_plus_delta_alpha	OPEN_NATIVE_ASSIGNMENT
finite_reciprocal_character	positive_self_adjoint_GL4_map	ordered_pair;lambda;signed_delta	D_delta2_D_delta1_equals_D_sum	DERIVED_GIVEN_DELTA
full_comparison_arrow	semidirect_typed_map	metric_path_arrow;pair_arrows;additive_depth	T_beta_T_alpha_equals_T_composite	DERIVED_CONDITIONAL_KINEMATICS
endpoint_depth	pair_function_on_events	endpoint_only_additivity	must_equal_phi_B_minus_phi_A	TYPE_DERIVED_PHYSICAL_ROLE_OPEN
path_depth	function_on_path_arrows	one_form_or_other_path_cocycle	always_additive_under_concatenation	TYPE_AVAILABLE_NOT_SELECTED
depth_loop_period	real_groupoid_holonomy	closed_path	visible_unless_zero	DERIVED_FAITHFUL_CHARACTER

