stratum_id	axis	case	outcome	remaining_limit
S01	pair_type	ordered_orthonormal_u_n	X_lambda_well_defined_mod_screen_SO2	physical_pair_and_path_must_be_supplied
S01	pair_type	unoriented_plane	insufficient_to_mark_clock_and_ruler_axes	orientation_and_axis_roles_missing
S01	pair_type	bare_event	insufficient_for_nontrivial_X_lambda	observer_and_ruler_data_missing
S02	screen_response	all_real_lambda	typed_path_groupoid_exact	lambda_unselected
S02	screen_response	lambda_plus1	fixed_observer_direction_independence_only	observer_dependence_remains
S02	screen_response	lambda_minus1	selected_ruler_dependence_only_under_broader_character	global_selection_absent
S02	screen_response	lambda0	spectator_screen_character	global_twisted_or_ordinary_selection_absent
S03	path	one_regular_path	metric_conjugacy_transport_exact	path_not_selected
S03	path	two_paths	outputs_equal_iff_relative_holonomy_centralizes_X_lambda	actual_holonomy_unselected
S03	path	closed_loop	path_groupoid_remains_consistent_with_nontrivial_holonomy	endpoint_identity_not_automatic
S03	path	cut_locus_family	multiple_path_arrows_retained	no_single_endpoint_arrow_without_quotient
S04	intermediate_object	same_pair_frame	direct_composition_exact	depth_must_be_additive
S04	intermediate_object	different_pair_frames_same_event	vertical_pair_change_arrow_required	full_screen_map_has_SO2_gauge
S04	intermediate_object	different_observers	vertical_Lorentz_pair_change_required	lambda1_does_not_remove_observer_dependence
S05	depth_type	additive_path_cocycle	full_comparison_composes	physical_metric_native_assignment_open
S05	depth_type	endpoint_only	must_be_potential_difference	cannot_also_be_universal_positive_isotropic_distance_depth_on_round_control
S05	depth_type	one_form_integral	path_composition_and_reversal_exact	endpoint_independence_requires_exactness_zero_periods
S05	depth_type	nonadditive_distance_magnitude	not_a_signed_scalar_cocycle_on_all_triangles	full_angular_composition_law_required
S06	depth_period	zero	character_returns_identity	does_not_force_Lorentz_holonomy_identity
S06	depth_period	nonzero_real	character_loop_nonidentity	physical_period_or_path_law_unselected
S07	holonomy	trivial	ordinary_endpoint_collapse_available_given_section	section_not_derived
S07	holonomy	centralizing	X_lambda_endpoint_value_path_independent	full_frame_holonomy_may_remain
S07	holonomy	noncentralizing	path_label_must_be_retained	not_an_inconsistency
S08	global_semantics	path_labelled_relational	kinematically_closed_given_metric_pair_and_depth_cocycle	physical_depth_and_arrow_selection_open
S08	global_semantics	endpoint_section	ordinary_groupoid_for_all_lambda_given_section	section_not_derived
S08	global_semantics	bare_event	overcollapsed_and_insufficient	cannot_forget_pair_frame_data

