# STAMP: Stage A1 angular-live ledger. Contract = PREREGISTRATION.md (frozen first). EVERYTHING-ON within the cleared layer: fields phi, f, bh, N (+ the new angular mixed row m) depending on (x, t, y, z); time-live-LINE composition (A-L4); T^2 stratum layer (A-L1, full-S^3 TYPED); angular jets <= 2 (A-L2, higher TYPED); theta ABSENT (A-L5); N=2 wall layer; both lock-reading branches carried; the NEW spatial-reading fork carried (A1j2); no response law selected, nothing solved, no angular cycle census (Stage A3's contract; F-A1 honored).
# STAMP: y_independent_restriction column = the C-1 calibration identity: restricting every row to the y-independent stratum (angular-independence, m=0, angular directions reduced to scaffolding) must recover the banked Stage-T1 posing EXACTLY (TIMELIVE_T1_LEDGER.tsv: 18 O-rows, 15 R-rows, 15 J-rows). static_restriction_transitive column = the C-2 transitive identity down to the banked static Stage-1 census (VARIATION_DOMAIN_CENSUS.tsv, 16 rows). Both checked mechanically in derive_angular_A1.py C1a/C1b/C2a/C2b.
# STAMP: verdict vocabulary (objects): EXTENDS-ANGULAR-DEP = banked object, gains angular dependence; NEW = new census row with provenance chain. (requirements/J-rows): transfers-unchanged / extends-with-derived-modification / gains-angular-component / breaks(how). Tags: DERIVED / CHOSE / THEORY(cite) / FREE-AND-EXPLORED / OPEN-FORK.
# STAMP (RESTATED — AMENDMENT 2026-07-31, verifier round 1, AM-A): residual chart symmetry (TA-1, derived): K4 (survives verbatim, (t,y,z) spectators, A1m) x T1 (t -> sigma t + t0, banked) x [T^2 translations (A1d) + the two derived angular mirrors (A1e2/A1f; bridge floor only, G18)] TIMES the ENLARGED slack layers: chi-slack (two-branch under the coordinate spatial pin, A1h/A1i; additive J07 cocycle A1k), zeta-slack = FIBER TRANSLATIONS z -> z + zeta (LAWFUL RESIDUAL on the registered family with f~ = f + zeta', A1s — the layer the original census MISSED; generates m_z from the diagonal stratum A1s2; moves N_z when t-dependent A1s3; additive cocycle A1s4), y-reparametrization slack (field-absorbed, chain-rule law, A1p/A1p2), psi-slack (banked T1) — composition DERIVED: each slack layer is abelian-additive within itself; psi acts on chi's t-argument (A1l) and chi/psi act on zeta's y/t-arguments (A1s5): the slack group CONTAINS the semidirect tower (zeta normal under chi normal under psi); the y-reparametrization layer h joins ABOVE it, NOT as a direct factor (AM-D, verifier closure): h normalizes the zeta-layer by argument action (conjugate = zeta o h) but does NOT normalize the chi-layer for general h (witness h = e^y); only the field-fixing subclass h' = 1 commutes in as a direct factor (still acting on zeta's argument); the full slack group = the group GENERATED by {psi, chi, zeta, h} under these derived relations. Under the coordinate spatial pin the JOINT (chi',zeta') slack orbit of m = (g_xy,g_xz) is the LEVEL SET of m^T B^-1 m (AM-B, A1i2), with full projected-reading removal s = -B^-1 m (A1j3). Fiber-leg reparametrization RIGIDIFIED by the lock WITHIN THE z-ONLY MAP CLASS (k'^2=1, A1e, verifier-confirmed): no free angular lapse on the locked leg.
row_id	kind	name	angularlive_verdict	tag	y_independent_restriction	static_restriction_transitive	basis_checks	citation
O01	OBJECT	phi_depth_field	EXTENDS-ANGULAR-DEP: phi(x,t,y,z) VARIED-FIELD; angular dependence FREE by canon (SPHERICAL is an independent CHOICE, not a consequence); the clock row opens through phi ONLY (form forced); tri-graded jets <= 2 carried; y,z-PERIODIC (derived domain fact A2a)	DERIVED (canon leaves phi's angular dependence free)	T1:O01 phi_depth_field (time-live VARIED-FIELD)	banked:phi_depth_field	A1a_clock_row_opens_via_phi_only	CANON C-2026-06-18-1; TIMELIVE_T1_LEDGER O01
O02	OBJECT	phi_anchor_zero_point	EXTENDS-ANGULAR-DEP: shift phi->phi+s absorbed by c_E e^s + alpha e^{2s} + field absorptions (f e^{-s}, bh e^{-2 lam s}) + unit rescale (x,z)->(e^{lam s}x, e^s z) with t,y UNTOUCHED; the compact y-leg absorbs on the FIELD side; the fiber-leg period rescales as an OVERLAP datum (not a chart automorphism); shift-EQUIVARIANCE extends angular-live	THEORY (banked D3/T1q, angular-extended by derivation)	T1:O02 phi_anchor_zero_point (D3 absorption time-extended)	banked:phi_anchor_zero_point	A1r_anchor_shift_absorption_angular_extended	joint EXACT_DERIVATION sec.3; T1 leg 5
O03	OBJECT	c_E_anchor	EXTENDS-ANGULAR-DEP: fork (constant-as-registered vs promoted-to-field) transfers; promotion sub-fork now includes angular dependence c_E(y) TYPED-ONLY (unregistered, flagged, not chosen); c_E enters the A1r absorption law as banked	OBSERVED (G06); fork OPEN	T1:O03 c_E_anchor (both forks)	banked:c_E_anchor	-	G06; Route C TC1
O04	OBJECT	alpha_twist	EXTENDS-ANGULAR-DEP: fork (active vs frozen) transfers; under the active fork alpha(x,t,y,z) typed; DERIVED new structure: alpha is ODD-composed under the fiber mirror (A1e2) and carries the e^{2s} anchor-orbit action (A1r); both forks carried, neither chosen	OPEN (L8)	T1:O04 alpha_twist (both forks)	banked:alpha_twist	A1e2_z_mirror_parity_alpha_f_odd; A1r	MAP sec.3 L8; Route C TC1
O05	OBJECT	f_connection_moment	EXTENDS-ANGULAR-DEP: f(x,t,y,z) VARIED-FIELD; ODD-composed under BOTH derived angular mirrors (A1e2/A1f); absorbs the y-reparametrization slack (f~ = f h', A1p) AND the zeta fiber-translation slack (f~ = f + zeta', A1s — AMENDMENT AM-A: f is the zeta-layer's absorption seat on the registered family); response slot R_f persists	THEORY	T1:O05 f_connection_moment	banked:f_connection_moment	A1e2; A1f_y_mirror_parity_f_odd; A1p; A1s	Route C TC1
O06	OBJECT	b_qB_transverse_block	EXTENDS-ANGULAR-DEP: bh(x,t,y,z) VARIED-FIELD; EVEN-composed under both angular mirrors; absorbs the y-reparametrization slack (bh~ = bh h'^2, A1p) and the e^{-2 lam s} anchor absorption (A1r); seat factor e^{2 lam phi} still carried by the lambda row (no double count; freezing tripwire travels)	THEORY	T1:O06 b_qB_transverse_block	banked:b_qB_transverse_block	A1p_y_reparametrization_absorbed_into_fields; A1r	Route C TC1
O07	OBJECT	lambda_modulus	EXTENDS-ANGULAR-DEP: const-vs-field fork gains an ANGULAR-READING sub-fork typed four ways (constant / m(t) / m(x,t) / m(x,t,y,z)); K4-invariance holds with (t,y,z) spectators (A1m); lam enters the A1r absorption exponents; value NEVER chosen	DERIVED-as-modulus (Route B); angular-reading OPEN-FORK	T1:O07 lambda_modulus (const/field + time-reading fork)	banked:lambda_modulus	A1m_K4_moduli_characters_angular_spectator; A1r	Route B T4/T6
O08	OBJECT	k_mod_modulus	EXTENDS-ANGULAR-DEP: same angular-reading sub-fork; trace/volume-channel blindness holds pointwise with (t,y,z) spectators (A2c)	DERIVED-as-modulus (Route B); angular-reading OPEN-FORK	T1:O08 k_mod_modulus	banked:k_mod_modulus	A1m; A2c_R4_blindness_angular_spectator	Route B T4
O09	OBJECT	k10_modulus	EXTENDS-ANGULAR-DEP: same angular-reading sub-fork; chi_a character (t,y,z)-spectator (A1m); character-matched relative invariance transfers pointwise	DERIVED-as-modulus (Route B); angular-reading OPEN-FORK	T1:O09 k10_modulus	banked:k10_modulus	A1m_K4_moduli_characters_angular_spectator	Route B T1 (A1-amended)
O10	OBJECT	C_mixing_moduli	EXTENDS-ANGULAR-DEP: same angular-reading sub-fork; signed-flip characters (t,y,z)-spectator (A1m); the E08 cocycle law remains the J07/J11 transition-data TYPE, now joined by the derived chi-slack additive cocycle and the y-slack chain-rule cocycle (see J07 row)	DERIVED-as-modulus (Route B); angular-reading OPEN-FORK	T1:O10 C_mixing_moduli	banked:C_mixing_moduli	A1m; A1k; A1p2	Route B T1/T3
