p4_item	corpus_result (precise)	machinery	transforms_cleanly	disanalogy	import_risk	attribution_status	notes
Route A inverse problem as a whole (POSED_INVERSE_PROBLEM SS2.4; R1-R15)	Lovelock 1971: in 4D every symmetric divergence-free 2-tensor concomitant of (g, dg, d2g) is a*G_ab + b*g_ab (J. Math. Phys. 12, 498-501); higher-D generalization = Lovelock tensors	invariant theory of tensor concomitants; normal-coordinate jet reduction (Thomas replacement: full Diff-naturality gauges away 1st-jet data, reduces 2nd-jet dependence to curvature); dimension-dependent identities; divergence-free condition as overdetermined PDE on coefficients	the PROBLEM SHAPE (classify ALL objects satisfying typed constraints; empty/point/family all first-class) and the classification style transform; this is the closest corpus analog of the posed inverse problem	UDT field content is NOT metric-only: phi + base data (f, bh) + anchored Q=c_E*e^{-phi} + 7 moduli mod K4 + wall data + completion label; symmetry input is local-Lorentz EQUIVARIANCE with a discrete K4 character rule, not Diff-naturality; the object is a response ONE-FORM on a configuration space, not a tensor-density ansatz; the divergence-free input has no forced GENERIC counterpart (R7(b) pointwise Noether set GENERICALLY vacuous per the Stage-2 verifier refinement; exact identities survive on resonance strata - PROVISIONAL-pending-Stage-2-bank); jet order is a graded SLOT of the object, not an assumption; finite cells not asymptotics	RED (the answer a*G+b*g) / GREEN (the classification machinery)	VERIFIED (AIP JMP 12 498-501; Wikipedia Lovelock's theorem; both checked 2026-07-29)	all three inputs sourcing Lovelock's uniqueness pressure (full invariance, div-free identity, 2nd-jet bound) are absent or altered on the UDT domain - see TG4 D1; Stage-2 refinement (verifier, 2026-07-29): the Noether vacuity is GENERIC-STRATUM-ONLY - on resonance strata (k_mod=0; also C=0 with lambda-/+k_mod in {+-1}) exact pointwise identities survive (stratum-local, discrete-character-graded, NOT a Noether-II tower); the div-free-counterpart absence holds GENERICALLY (PROVISIONAL-pending-Stage-2-bank)
F-RA1 equivariant family + Stage-2 TB2 character modules (PROVISIONAL-pending-Stage-2-bank)	classical (relative-)invariant theory: equivariant maps under a group classified as modules over the invariant ring; finite-group case via characters	invariant rings; characters; module generators, minimality, syzygies	YES - and already natively instantiated (11-generator invariant ring; chi_a/chi_b/chi_c modules with exhibited bases): the clean transform of the Lovelock-vein machinery, executed without import	UDT group content is discrete K4 + connected transport with TRIVIAL stabilizer on the registered chart, so continuous-group averaging/Weyl theory degenerates to finite-group character theory; the corpus adds nothing beyond what Stage 2 banked	GREEN	MODEL-KNOWLEDGE (standard classical invariant theory; no single source checked)	reference row: shows the vein's machinery already crossed the bridge natively
R1/R2 census + SS2.2 jet grading	naturality/order theorems for natural tensors (Aldersley-type dimensional-analysis restrictions; natural-tensor classification via jet-group representations)	jet bundles; representations of jet groups; functoriality over all manifolds	PARTIAL - the grade-by-jet-order-and-classify-per-grade scheme mirrors SS2.2	naturality theorems quantify over ALL manifolds and diffeomorphisms (functoriality axis); the UDT domain is a REGISTERED chart with the founded block H fixed - no manifold-functoriality axis exists to run the argument on	AMBER (functoriality is a structure assumption to audit)	MODEL-KNOWLEDGE (Aldersley/jet-group attributions unverified - must be checked before load-bearing use)	not in TG3 shortlist; flagged
L6 exact subcase: gate 3 (local) + gate 6 (global) split	Anderson-Duchamp 1980 On the Existence of Global Variational Principles (Am. J. Math. 102, 781-867): a locally variational source form is globally variational iff a cohomology obstruction vanishes	variational bicomplex / variational sequence; local exactness of the sequence; H^{n+1} obstruction class	YES in shape: the local-vs-global split IS gate 3 vs gate 6	the corpus obstruction lives in de Rham-type cohomology of jet bundles of FIBRED MANIFOLDS; the UDT cycle census (completion-class cycles, K4-orbifold strata, J07 twisted-cocycle loops) is not fibred-manifold cohomology - the K4-torsion vacuity note is a native computation of exactly the piece that IS shared	GREEN (machinery)	VERIFIED (USU digitalcommons record of Anderson-Duchamp 1980; checked 2026-07-29)	the split transformed cleanly; the coefficients/cycles did not
gate 3 Helmholtz test on R_PW members (L6 fork; L7 pairing)	Helmholtz conditions: a source form is locally variational iff its formal Frechet derivative/linearization is self-adjoint; global version Takens 1979 (J. Diff. Geom.); systematized in the bicomplex (Gelfand school, Vinogradov, Tulczyjew, Takens, Anderson)	source forms on infinite jet bundles; formal adjoint of the linearization; variational sequence	YES - gate 3 IS this test, with one forced modification: pairing-relativity	the corpus fixes the dual pairing implicitly (canonical fibred duality + a volume form); on UDT the pairing is ENUMERATED-NOT-ADOPTED (P1/P2/P3; L7 OPEN-ABSENT) and Route B T4 proves the volume choice is load-bearing (blindness loci) - so self-adjointness is pairing-RELATIVE: a corpus ABSOLUTE (variational or not) becomes a UDT RELATIVE statement per declared pairing	GREEN	VERIFIED (Takens 1979 global inverse problem, J. Diff. Geom.; bicomplex history via HandWiki/arXiv surveys; checked 2026-07-29)	TG3 shortlist item 1; TG4 D6
L7 pairing/multiplier seat (SS1.5)	Douglas 1941 Solution of the Inverse Problem of the Calculus of Variations (Trans. AMS 50, 71-128): for n=2 SODE systems, complete case-by-case classification of existence/uniqueness of multipliers g_ij making g_ij(x''-f) Euler-Lagrange	exterior differential systems / Riquier-Janet analysis of the multiplier PDE; case split on the algebraic structure of the Jacobi endomorphism	the QUESTION SHAPE transforms (multiplier existence = variationality up to pairing choice); the classification does NOT	Douglas is ODE, finite-dimensional, n=2; leans on eigenstructure of a finite matrix; the general-n and PDE/field cases remain OPEN in the corpus itself - the corpus stops exactly where UDT's typed field domain begins; moreover the UDT multiplier is not free: P1's volume functional is constrained (T4 blindness loci) and P2/P3 carry their own supplied structures	AMBER (the ODE-era case split does not survive; only the question shape)	VERIFIED (AMS full text of Trans. AMS 50 (1941) 71-128; checked 2026-07-29)	the ODE-era stopping point is itself a TG4 observation (D6)
L6 nonvariational branch + L7	Vainberg (Variational Methods for the Study of Nonlinear Operators, Engl. 1964): N is a potential operator iff its Gateaux/Frechet derivative is symmetric w.r.t. the chosen bilinear form; Tonti 1969: variational formulations for wider classes by changing the pairing (integrating operators)	functional analysis on Banach spaces; symmetry of the derivative; kernel/integrating-operator constructions	YES for the structural point (potentialness is pairing-dependent) - this is the L6/L7 interplay stated in corpus language	Tonti-type constructions freely INVENT kernels (convolutions etc.) to force variationality; on UDT any pairing must be one of the enumerated P1/P2/P3 with supplied structures TAGGED (R1 provenance) - an invented kernel is unregistered structure and the make-it-variational reflex is the MAP's named L6 HABIT flag	AMBER (kernel invention is the import shape) / GREEN (the pairing-dependence lemma)	VERIFIED (Vainberg book record; Tonti 1969 via search; checked 2026-07-29)	
Stage-2 residual space as gate-3 surface (PROVISIONAL-pending-Stage-2-bank)	partial corpus results for the inverse problem of 2nd-order PDE SYSTEMS (e.g. systems in the plane); order-reduction theorems for field theories	bicomplex + exterior differential systems	PARTIAL and thin	corpus PDE results cover scalar/planar/determined systems; R_PW is a component FAMILY with character constraints, moduli directions, boundary strata, and both variational and nonvariational members first-class	GREEN (as reference)	VERIFIED-existence (arXiv:0910.2933 exists; its scope statement MODEL-KNOWLEDGE)	honest thin row - the corpus is genuinely thin here
R6 / gate 5 finite-cell boundary differentiability	GHY: the EH variation on a bounded region leaves unpaired normal-derivative boundary terms; adding the K*sqrt(h) surface term makes the Dirichlet (induced-metric-held) problem differentiable (York first; Gibbons-Hawking 1977 refined)	integration-by-parts bookkeeping of unpaired boundary jets; polarization (which data held) choice; counterterm construction	the BOOKKEEPING transforms cleanly: enumerate unpaired wall jet slots per declared order N = gate 5 steps 1-2; Route C TC5 is the concrete UDT instance (EH-type 2nd-order needs 1-jet wall data; C2/Bach-type 4th-order needs 2-jet wall + 3rd normal-derivative momenta)	GHY's FIX is to APPEND a counterterm - on UDT a structure-holding boundary term is Category-B/gated; gate 5 instead demands the candidate's OWN R_wall/R_corner components pair the slots; the Dirichlet polarization GR picks by habit is on UDT an open ledgered fork (BR-B varied-vs-held); mirror parity phi->-phi + sector split constrain admissible wall data; anchored-phi wall dependence only through supplied slots (V8 clash resolution)	GREEN (jet bookkeeping) / RED (adopting K*sqrt(h) or any counterterm as the answer)	VERIFIED (Wikipedia GHY-term page; arXiv:1612.00149 Boundary and Corner Terms in the Action for GR; checked 2026-07-29)	TG3 shortlist item 2; TG4 D4
R6 corner strata (codim 2)	Hayward corner terms: piecewise-smooth boundaries require codim-2 corner contributions (angle/boost parameter at joints) for a differentiable action; vanish for smooth boundaries	distributional curvature at corners; corner-angle bookkeeping	YES for the corner-slot CENSUS (gate 5's corner enumeration)	corpus corners are joints of one region's boundary segments with independent data; UDT corners are strata of a MIRRORED cell with the seal-involution sector split (spatial vs temporal mirror) - parity may relate corner slots the corpus counts as independent	GREEN (census) / RED (the specific angle-term formula)	VERIFIED (Hayward term confirmed via arXiv:1612.00149 and arXiv:2005.11338 hits; exact 1993 journal citation not individually checked)	
