id	geometric_regime	metric_conditions	invariant_result	frame_ruling	status	limit
R01	REGULAR_FINITE_PHI_POINT	r>0; finite real phi; A=exp(-2phi)>0; finite A_prime,A_second	metric nondegenerate with inertia (-,+,+,+); determinant independent of phi	local Lorentz frame type unchanged	DERIVED_CONDITIONAL_STATIC_SPHERICAL	material clocks and general time-live geometry absent
R02	BALANCED_CONSTANT_BRANCH	A=1; A_prime=A_second=0	R=Ricci2=K=C2=0	ordinary flat control	DERIVED	local/static control only
R03	CONSTANT_NONZERO_IMBALANCE	A=a>0 constant; a!=1; r>0	R=2(1-a)/r^2; K=4(1-a)^2/r^4	still locally Lorentzian but curved by angular completion	DERIVED_CONDITIONAL_STATIC_SPHERICAL	diverges at an areal center
R04	REGULAR_AREAL_CENTER	C2 Taylor A=A0+A1*r+A2*r^2/2+o(r^2); bounded K	A0=1 and A1=0; K(0)=6*A2^2; phi=O(r^2)	frame reciprocity approaches balanced regular tangent geometry	DERIVED_CONDITIONAL_STATIC_SPHERICAL	does not prove a physical particle center or scale
R05	A_TO_ZERO_AT_FINITE_RADIUS	A->0 at r_h>0	angular K term remains finite; derivative terms decide curvature; static chart becomes singular	no frame flip follows without extension audit	UNDERDETERMINED_ENDPOINT	profile and extension required
R06	WRL_A_TO_ZERO_CONTROL	A=1-r/X; r->X	R=6/X^2; Ricci2=10/X^4; K=8/X^4; C2=0; ingoing extension previously verified	static observer frame terminates while local Lorentzian spacetime extends	DERIVED_CONDITIONAL_METRIC_LIMIT	not a hard edge or selected X_max
R07	A_TO_INFINITY_AT_FINITE_RADIUS	A->infinity at fixed finite r>0	K>=4(1-A)^2/r^4 -> infinity from angular motif	curvature singularity; no regular frame continuation derived	DERIVED_CONDITIONAL_STATIC_SPHERICAL	correlated r->infinity limit not covered
R08	UNBALANCED_AREAL_CENTER	r->0 with A0!=1 or A1!=0	K diverges as r^-4 or r^-2	no regular center frame	REFUTED_AS_REGULAR_CENTER_IN_CLASS	nonspherical/time-live topology may differ
R09	FINITE_NEGATIVE_PHI_AWAY_FROM_CENTER	phi<0 finite; A>1; r>0	no algebraic signature change; curvature depends on A,A_prime,A_second	no intrinsic frame flip	DERIVED_CONDITIONAL_STATIC_SPHERICAL	large negative phi endpoint at finite r is singular
R10	PHI_REVERSAL	A->1/A with areal angular block fixed	constant-A scalar-curvature witness changes unless A=1	not a generic complete-metric symmetry	REFUTED_AS_UNIVERSAL_SYMMETRY	special profiles or maps require separate proof
R11	NONSHPERICAL_OR_TIME_LIVE	complete angular shear/twist/shift/time dependence active	not computed by this static family	micro/extreme frame behavior open	OPEN	must begin from a derived complete metric branch
