catch	result
tensor_formula_mutation_rejected	PASS
center_limit_mutation_rejected	PASS
missing_ledger_row_rejected	PASS
duplicate_ledger_row_rejected	PASS
micro_status_promotion_rejected	PASS
source_hash_mutation_rejected	PASS
production_false_check_rejected	PASS
invented_micro_flip_rejected	PASS
wrong_prereg_base_rejected	PASS
inserted_micro_scale_rejected	PASS
imported_gr_dynamics_rejected	PASS
material_cone_promotion_rejected	PASS
time_live_extrapolation_rejected	PASS
wrl_hard_edge_promotion_rejected	PASS
constant_block_flat_fourmetric_claim_rejected	PASS
phi_reversal_symmetry_claim_rejected	PASS
coordinate_speed_as_local_c_rejected	PASS
component_divergence_as_frame_flip_rejected	PASS
