item	status	role
G340_endpoint_metric_frequencies	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	normal-observer endpoint frequency input
G342_source_sky_Jacobi_normalization	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	fixed-frequency unit celestial opening and full two-screen map
G343_bilocal_position_block_and_typing	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	common affine reversal and separately normalized endpoint conversion
G344_stationary_endpoint_algebra	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	typed three-endpoint Hessian sewing
G345_observer_calibrated_scalar	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	symmetric determinant scalar tested as geometric mean inverse
provisional_vacuum_equation	OWNER_ADOPTED_PROVISIONAL_POSTULATES_NOT_CANON	conditional spacetime arena inherited through G340--G345 only
positive_time_domain	PINNED_BY_THEORY_FOR_THIS_SPACETIME	T greater than zero regular component
distinct_endpoint_times	FREE_AND_EXPLORED_QUERY_DATA	all positive ordered noncoincident pairs
nonidentity_endpoint_triples	FREE_AND_EXPLORED_QUERY_DATA	all six orderings with outer endpoints distinct
coincident_endpoint_limit	DERIVED_BOUNDARY_CLASSIFICATION	type-I chart excluded at identity but limit tested
fixed_labelled_null_ray	SUPPLIED	no ray or compact lift selected
normal_endpoint_observers	SUPPLIED_CONDITIONAL_BOUNDED	G340 congruence; no observer population selected
fixed_observer_frequency_sky_variation	CHOSE_QUERY_CALIBRATION	defines the requested metric celestial direction at each endpoint
infinitesimal_beam	CHOSE_BOUNDED_REGIME	Jacobi derivative only; no finite-beam claim
projective_direction	FREE_AND_EXPLORED_QUERY_DATA	all mixed directions and both principal limits
common_affine_scale	FREE_AND_EXPLORED_GAUGE	all positive rescalings classified
separate_endpoint_unit_frequency	CHOSE_QUERY_CALIBRATION	tested only through G343 metric-owned conversion
metric_screen_metrics_areas_and_sky_solid_angles	PINNED_BY_THEORY_FOR_THIS_SPACETIME	induced by supplied metric and quotient screen
endpoint_GL2_coordinates	FREE_AND_EXPLORED_GAUGE	arbitrary well-conditioned invertible passive changes
stationary_composition	DERIVED_CONDITIONAL_BOUNDED	G344 join Hessian retained
compact_translation_lattice	SUPPLIED_CONDITIONAL	all lift labels retained separately
numeric_quadrature_and_matrix_controls	CATEGORY_A_METHOD	certification only
angular_diameter_Etherington_Van_Vleck_or_geometric_optics	OMITTED_NOT_USED	may not supply formulas or interpretation
electromagnetic_or_light_model	OMITTED	no emission absorption spectrum polarization or detection
brightness_luminosity_flux_probability_amplitude_or_distance	OMITTED	no physical transfer or distance selection
physical_route_or_observer_population	OPEN	no path or observer selected summed or weighted
generic_spacetime_or_stability	OPEN	one exact conditional spacetime and ray family only
matter_mass_scale_Xmax	OPEN	no attachment or selection
canon	OPEN	Charles alone canonizes
