id	failure_mutation	required_disposition
F01	promote_global_scalar_difference_on_round_S3	verification_must_fail
F02	treat_metric_distance_as_additive_for_arbitrary_triangle	verification_must_fail
F03	call_nonlinear_F_additive_on_ordinary_geodesic_subsegments	verification_must_fail
F04	claim_infinite_depth_at_finite_diameter_with_linear_F	verification_must_fail
F05	remove_angular_dot_product_from_noncollinear_round_composition	verification_must_fail
F06	make_scalar_distance_set_valued_at_antipode	verification_must_fail
F07	make_full_transport_unique_at_cut_locus_without_holonomy_rule	verification_must_fail
F08	promote_current_integral_without_local_phi_join_or_global_exactness	verification_must_fail
F09	claim_c_alone_supplies_dimensionless_depth_scale	verification_must_fail
F10	promote_physical_Xmax_mass_density_or_CMB	verification_must_fail
