claim	status	scope
abstract reciprocal pair operator	DERIVED_CONDITIONAL	unchanged parent result
one global phi difference is universal pair depth	REFUTED_AS_ABSOLUTE_REPRESENTATION_IN_COMPLETE_ROUND_CONTROL	type obstruction only; does not refute observer-frame dilation local chains or anisotropic fields
pair dilation modifies local physics	REFUTED_BY_OWNER_FRAME_MEANING	rho_p(p)=0 for every observer; dilation belongs to inter-frame comparison
three observers invalidate pair dilation	REFUTED	three observers carry compatible pairwise relational comparisons; scalar absolute encoding is what fails
observer-indexed bilocal metric family	SMALLEST_SURVIVING_TYPE_GIVEN_F	F sign lift and transitions open
ordinary geodesic additive universal F	LINEAR_ONLY	continuous/differentiable regularity
finite proper diameter plus infinite linear additive depth	INCOMPATIBLE_UNDER_SAME_OBJECT_IDENTIFICATION	nonlinear display location-dependent rate or infinite proper length remain alternatives
angular sector in pair composition	DERIVED_REQUIRED_FOR_NONCOLLINEAR_ROUND_TRIPLES	round exact law
cut-locus scalar depth	SINGLE_VALUED_IF_FUNCTION_OF_DISTANCE	full transport may be path family
c alone fixes dimensionless depth normalization	NOT_DERIVED_DIMENSIONAL_GATE	c remains founding clock-length anchor
physical Xmax mass density CMB	OPEN_NOT_PROMOTED	outside audit
overall	RELATIONAL_DEPTH_TYPE_NARROWED_PROFILE_OPEN	no canonization
