p_domain	point_type	alpha	t_lo	t_hi	tau_lo	tau_hi	eta_nu_lo	eta_nu_hi	representative_eta_mu_lo	representative_eta_mu_hi	joint_reading
DIRICHLET	FIELD_CROSSING	-	0.44177409241662746530967114514552050771537811581043456364604604512465366787670119	0.44234641186286924481700934749465056659901389213201583834067271630792053325610009	0.53675829096271542221546117345407183828959794342141704807786866305480704805565233	0.53698079920316002984937696692797634770555589179562373599291551089172384555731384	+INF	+INF	+INF	+INF	NO_FINITE_ETA__ZERO_MODE_COUPLES_TO_NU
DIRICHLET	ABOVE_CROSSING_SAMPLE	1/4	0.58122995020309428699429443573161254323011602621680515184650943658292421219767724	0.58186046851965451106117879308003369830062857109967346088926784637523260201090468	-	-	30.324734002407968410051691011453260847912778139339401275408831018372236682704782	30.625974969376363624723969723572819858196332812176502715222486141753009087150059	7.5811835006019921025129227528633152119781945348348503188522077545930591706761954	7.6564937423440909061809924308932049645490832030441256788056215354382522717875149	NONNEGATIVE_IFF_ETA_AT_OR_ABOVE_THRESHOLD
DIRICHLET	ABOVE_CROSSING_SAMPLE	1/2	0.7206858079895611086789177263177045787448539366231757400469728280411947565186533	0.72137452517643977730534823866541683000224325006733108343786297644254467076570928	-	-	15.616288325953789743555766458166566973588030428499596086692034573248072408432248	15.819128708777141814257661502567841693231314949449187569554661729007277669262273	3.904072081488447435888941614541641743397007607124899021673008643312018102108062	3.9547821771942854535644153756419604233078287373622968923886654322518194173155681	NONNEGATIVE_IFF_ETA_AT_OR_ABOVE_THRESHOLD
DIRICHLET	ABOVE_CROSSING_SAMPLE	3/4	0.86014166577602793036354101690379661425959184702954632824743621949946530083962935	0.86088858183322504354951768425079996170385792903498870598645810650985673952051388	-	-	10.713473100469063521390458273737669015479781191552994357119769091540017650341403	10.883513288577401210768892095566182304909642328540082520998720258092033863299677	2.6783682751172658803476145684344172538699452978882485892799422728850044125853508	2.7208783221443503026922230238915455762274105821350206302496800645230084658249192	NONNEGATIVE_IFF_ETA_AT_OR_ABOVE_THRESHOLD
DIRICHLET	ABOVE_CROSSING_SAMPLE	1/1	1.0	1.0	-	-	8.2620654877267004103078041815232200364256565730796934923336363506859902712959811	8.4157055784775309090245073920653526107488060180855299967207495226344119603183792	2.0655163719316751025769510453808050091064141432699233730834090876714975678239953	2.1039263946193827272561268480163381526872015045213824991801873806586029900795948	NONNEGATIVE_IFF_ETA_AT_OR_ABOVE_THRESHOLD
FREE	FIELD_CROSSING	-	0.55419928471877330220408427127201415185320360031224309043696359712582910599354583	0.55498266381146064820926617730512637873118815514695901272274848115220192215966932	0.67335560419842286346435826749441647110806086845492622957418260265513591782611935	0.67371414431132256627226077292650831977324824664501532056386170213895756695056342	+INF	+INF	+INF	+INF	NO_FINITE_ETA__ZERO_MODE_COUPLES_TO_NU
FREE	ABOVE_CROSSING_SAMPLE	1/4	0.66551939026621138178278410735787718555171082066220294974090066758865891411370285	0.66636713884291914230104097493218547362410887061327164503435930755106396280551428	-	-	50.633048994651195740926932681752050393342577721321815065512166301613216405801858	51.049419343721305899292254069159155773005125567944800897344103066386881896148518	12.658262248662798935231733170438012598335644430330453766378041575403304101450464	12.76235483593032647482306351728978894325128139198620022433602576659672047403713	NONNEGATIVE_IFF_ETA_AT_OR_ABOVE_THRESHOLD
FREE	ABOVE_CROSSING_SAMPLE	1/2	0.77683949581364946136148394344374021925021804101216280904483773805148872223385986	0.77775161387437763639281577255924456851702958607958427734597013394992600345135924	-	-	26.192524782759367352997211671893023130772805655624402052933609988003976508709749	26.450566173290521873514673835823534748342744880205943973758460975793698370724374	6.5481311956898418382493029179732557826932014139061005132334024970009941271774373	6.6126415433226304683786684589558836870856862200514859934396152439484245926810934	NONNEGATIVE_IFF_ETA_AT_OR_ABOVE_THRESHOLD
FREE	ABOVE_CROSSING_SAMPLE	3/4	0.88815960136108754094018377952960325294872526136212266834877480851431853035401688	0.8891360889058361304845905701863036634099503015458969096575809603487880440972042	-	-	18.045683378795424557020638001940014043249548300391931048740757883467563209679046	18.250948449813593864922147091378327740121951317626324999229913612262637195582992	4.5114208446988561392551595004850035108123870750979827621851894708668908024197615	4.562737112453398466230536772844581935030487829406581249807478403065659298895748	NONNEGATIVE_IFF_ETA_AT_OR_ABOVE_THRESHOLD
FREE	ABOVE_CROSSING_SAMPLE	1/1	1.0	1.0	-	-	13.972262676813453159032351166963509499487919622775695546644331831199356560163695	14.151139588075129860625883719155724236011554536336515511965639930497106608012301	3.4930656692033632897580877917408773748719799056939238866610829577998391400409237	3.5377848970187824651564709297889310590028886340841288779914099826242766520030753	NONNEGATIVE_IFF_ETA_AT_OR_ABOVE_THRESHOLD
