# STAMP: P4 Route D registration ledger. Contract = PREREGISTRATION.md (frozen first). Script = derive_routeD_registration.py, 38/38 exit 0 (31 substantive + 7 guards). Requirement rows = prereg sec.1 (i)-(vi); statuses are PROVENANCE/HONESTY grades, never merit.
# STAMP: standing scope = registered positive triangular chart; stationary one-parameter presentation; anchored transport E(0)=I; off-shell; eps_m SUPPLIED (F-R4); no census branch adopted; registration grade = Route-B-Stage-1-analog; BR-M response space defined+typed, not exhausted.
requirement	moduli_sector	status	basis (script checks / citations)
i-class-coherence	(lambda,k_mod)	REGISTERED	R1_transport_chart_stability_upper_right; R1_instance_chart_positivity_diagonalK; R1_classwide_stabilizer_trivial_field; R1_anchored_orbits_singleton; R1_finite_residual_is_pointwise_K4; R1_T4analog_volume_scaling_pointwise; ADOPTED_T2analog_bracket_pointwise (credited, ex-verifier V7); ADOPTED_finite_level_orbit_linear (credited, ex-verifier V2e)
i-class-coherence	(k10,C)	REGISTERED	R1_instance_xdep_transport_solves_ODE; R1_classwide_stabilizer_trivial_field; R1_anchored_orbits_singleton; R1_finite_residual_is_pointwise_K4; R1_K4_pointwise_on_field_members_and_transport; R1_unanchored_screen_dressing_flow; ADOPTED_T2analog_bracket_pointwise (credited, ex-verifier V7); ADOPTED_finite_level_orbit_linear (credited, ex-verifier V2e)
ii-transition-cocycle	(lambda,k_mod)	REGISTERED	R2_transition_data_requirement_typed; R1_transport_chart_stability_upper_right (rho universal); R2_segment_transport_wellposed_in_class; R2_associativity_three_segments; R2_reversal_inverse_in_class
ii-transition-cocycle	(k10,C)	REGISTERED	R2_two_sided_law_xdepK_instance; R2_segment_transport_wellposed_in_class; R2_associativity_three_segments; R2_no_effective_member_denominators (observation)
iii-alphabet	(lambda,k_mod)	REGISTERED-WITH-DECLARED-ENTRIES	R3_shift_translation_covariance_transport; R3_mjet_alphabet_legality; R3_locality_boundary_nonlocal_excluded; R3_declared_entries_ledger (N1,N2,N3)
iii-alphabet	(k10,C)	REGISTERED-WITH-DECLARED-ENTRIES	R3_mjet_alphabet_legality (chi-graded jets); R1_K4_pointwise_on_field_members_and_transport; R3_declared_entries_ledger (N1,N2,N3)
iv-parity-mirror	(lambda,k_mod)	REGISTERED-CONDITIONAL(eps_m SUPPLIED)	R2_mirror_interface_supplied_dressing_conditional; forcing S3 (cited); F-R4 honored; same supplied status as the constant branch
iv-parity-mirror	(k10,C)	REGISTERED-CONDITIONAL(eps_m SUPPLIED)	R2_mirror_interface_supplied_dressing_conditional; forcing S3 + swap candidate (Route-P input, cited); F-R4
v-response-extension	(lambda,k_mod)	TYPED+INSTANTIATED (per contract; no mass legs)	R4_J05_pairing_wall_slots; R4_J06_slot_theorem_pointwise; R4_response_extension_typed_A1_seat
v-response-extension	(k10,C)	TYPED+INSTANTIATED (per contract; no mass legs)	R4_J05_pairing_wall_slots; R4_response_extension_typed_A1_seat (character modules pointwise)
vi-stratum-structure	(lambda,k_mod)	REGISTERED (level-set; pointwise-bind)	R5_stratum_level_set_pointwise_bind; Stage-2 k_mod=0 identity (cited); J09-typed crossings (forcing guard 15)
vi-stratum-structure	(k10,C)	REGISTERED (level-set; deeper census TYPED-NOT-EXHAUSTED, inherited)	R5_stratum_level_set_pointwise_bind; RES-CNEQ0 shear example (cited); inherited CENSUS-REQUIRED stamp
