claim_id	claim	status	scope
Q01	universal_Xmax_for_ordinary_frames	WORKING_POSIT	owner_proposed_not_canon
Q02	Xmax_is_unattainable_open_limit	WORKING_PLUS_EXACT_ACTION_DOMAIN	declared_complete_interval_actions
Q03	two_regular_Xmax_seals	WITHDRAWN_IN_THIS_FRAMING	replaced_by_one_asymptotic_radial_boundary
Q04	all_declared_interval_actions_classified	DERIVED	smooth_complete_transitive_1D_class
Q05	invariant_bound_uniquely_selects_tanh	REFUTED	slope_matched_counterfamily
Q06	tanh_unique_in_anchored_projective_class	DERIVED_CONDITIONAL	first_degree_fractional_linear_readout
Q07	physical_position_is_projective_readout	OPEN	operational_position_join
Q08	WRL_coordinate_proper_optical_maps	DERIVED_IN_RECORDED_METRIC	conditional_static_WRL_representative
Q09	WRL_wall_is_global_terminal_Xmax	OPEN	global_bootstrap_not_derived
Q10	complete_dphi_coframe_selects_display_H	REFUTED_AS_COORDINATE_SELECTION	exact_reparametrization_with_Jacobian
Q11	one_asymptotic_boundary_selects_lambda	NOT_DERIVED	constant_lambda_control
Q12	added_asymptotic_area_neutrality	DERIVED_CONDITIONAL	forces_s_squared_lambda_squared_only
Q13	lambda_equals_one	OPEN	relative_angular_reciprocal_weight
Q14	c_G_Xmax_define_scales	DERIVED_DIMENSIONALLY	T=Xmax/c;M=c_squared_Xmax/G;rho=c_squared/(G_Xmax_squared)
Q15	Xmax_value_total_mass_density	OPEN	native_bootstrap_and_mass_required
Q16	complete_action_source_boundary	OPEN	not_addressed
