route_id	route	required_test	ruling	reason
R01	INVARIANT_BOUND_AXIOM	separate_universal_scale_endpoint_and_unattainability	CONSTRAINS_NOT_UNIQUE	shared_Xmax_is_coherent_working_limit_but_does_not_mark_interior
R02	ORIENTED_ACTION_CLASSIFICATION	classify_every_declared_one_parameter_interval_action_by_flow_coordinate	CLASSIFIES_FULL_DECLARED_FAMILY	every_declared_action_is_translation_conjugated_by_arbitrary_H
R03	NONNEGATIVE_DISTANCE_CORRECTION	separate_signed_comparison_magnitude_and_direction	DISTINGUISHES_OPERATIONAL_DISTANCE	signed_axis_coordinate_is_orientation_not_negative_separation
R04	SMOOTH_COMPACTIFICATION_COUNTERFAMILY	test_odd_endpoint_and_slope_matched_nonuniqueness	CONSTRAINS_NOT_UNIQUE	slope_matched_H_epsilon_survives_all_generic_axioms
R05	ANCHORED_PROJECTIVE_CLASS	solve_three_anchor_first_degree_fractional_linear_readout	DERIVES_CONDITIONAL_POSITION_LAW	three_anchors_uniquely_give_tanh_inside_first_degree_projective_class
R06	RECIPROCAL_CHARACTER_JOIN	test_when_additive_phi_and_observer_parameter identify_position_chart	NOT_EXECUTABLE_OR_OPEN	physical_position_as_projective_ray_readout_remains_unregistered
R07	COMPLETE_COFRAME_REPARAMETRIZATION	test_H_dependence_after_exact_Jacobian	COORDINATE_EQUIVALENT_NOT_SELECTOR	exact_Jacobian_leaves_dphi_coframe_and_metric_unchanged
R08	WRL_COORDINATE_REACH	derive_r_over_X_as_function_of_phi	DISTINGUISHES_OPERATIONAL_DISTANCE	recorded_WRL_coordinate_map_is_1_minus_exp_minus2phi
R09	WRL_PROPER_REACH	derive_metric_path_length_and_total	DISTINGUISHES_OPERATIONAL_DISTANCE	recorded_WRL_proper_fraction_is_1_minus_exp_minusphi
R10	WRL_OPTICAL_DEPTH	derive_static_optical_map_and_boundary_divergence	DISTINGUISHES_OPERATIONAL_DISTANCE	recorded_WRL_optical_depth_is_unbounded_2X_phi
R11	ASYMPTOTIC_VERSUS_REGULAR_BOUNDARY	test_geometry_and_domain_status_without_second_seal	CONSTRAINS_NOT_UNIQUE	unattainable_outer_limit_replaces_regular_second_seal_but_not_interior_law
R12	ANGULAR_DIRECTION_BOUNDARY	test_what_axis_endpoints_mean_with_nonnegative_radius	NOT_EXECUTABLE_OR_OPEN	directions_may_label_boundary_points_but_topology_and_identification_are_open
R13	ONE_BOUNDARY_CONSTANT_LAMBDA_FLOW	derive_asymptotic_area_shape_limits_for_all_s	REDUCES_LAMBDA_CONDITIONALLY	added_area_neutrality_gives_s_squared_lambda_squared_not_lambda_one
R14	FULL_COFRAME_LAMBDA_SELECTION	test_if_bound_or_display fixes_relative_angular_weight	DOES_NOT_FIX_LAMBDA	bounded_display_is_absent_from_phi_normalized_Jacobi_equations
R15	CSN_C_G_XMAX_SCALE	test_dimensional_scales_versus_dimensionless_lambda	DOES_NOT_FIX_LAMBDA	c_G_Xmax_form_scales_but_no_dimensionless_weight_equation
R16	FINITE_CELL_BOOTSTRAP	test_for_executable_position_or_lambda_selector	NOT_EXECUTABLE_OR_OPEN	no_registered_bootstrap_or_boundary_functional_selects_H_or_lambda
