premise_id	object	status	role	not_allowed
P01	c_E	OBSERVED_FOUNDING_ANCHOR	clock_ruler_conversion_and_metric_scale	set_to_one_or_foundational_infinite_speed
P02	G_obs	OBSERVED_ANCHOR	dimensional_mass_length_conversion	native_field_equation
P03	global_Xmax	OWNER_PROPOSED_WORKING_POSIT_FOR_AUDIT	one_unattainable_positional_limit_for_ordinary_frames	derived_value_or_canon
P04	Xmax_value	OPEN	future_bootstrap_output	inserted_number_or_fit
P05	observer_reciprocity	OWNER_LOCKED_ORDINARY_REGIME	no_preferred_observer_and_same_law	micro_extreme_extension
P06	reciprocal_c_pair	PINNED_BY_THEORY	coequal_c_E_and_inverse_c_E_directions	angular_source_equation
P07	additive_phi	DERIVED_IN_ABSTRACT_PAIR	reciprocal_group_parameter	operational_distance
P08	oriented_xi	COMPARISON_COORDINATE	signed_direction_on_an_axis	negative_physical_distance
P09	physical_separation	NONNEGATIVE_OWNER_CORRECTION	magnitude_plus_angular_direction	signed_clock_speedup
P10	observer_action_H	FREE_AND_EXPLORED	all_smooth_complete_transitive_interval_actions	tanh_assumed
P11	projective_readout	OPEN_CANDIDATE	first_degree_anchored_ray_coordinate	owner_locked_position
P12	tanh_law	DIAGNOSTIC_CANDIDATE	test_uniqueness_and_metric_selection	boundary_condition
P13	WRL_metric	CONDITIONAL_RECORDED_CONTROL	exact_asymptotic_metric_profile	global_universe
P14	coordinate_reach	FREE_AND_DISTINGUISHED	bounded_chart_extent	proper_distance
P15	proper_reach	DERIVED_PER_METRIC	path_length	observer_chart_label
P16	optical_depth	DERIVED_PER_STATIC_METRIC	causal_static_chart_depth	co_present_signal_time
P17	fullframe_dphi_coframe	CONDITIONAL_DERIVED_IN_FIXED_F3_CLASS	test_display_reparametrization	universal_complete_metric
P18	asymptotic_boundary	WORKING_INTERPRETATION	one_unattainable_outer_limit	regular_second_seal
P19	angular_topology_shape	OPEN_NOT_SELECTED	retain_all_global_options	round_S2
P20	lambda	FREE_AND_EXPLORED	relative_reciprocal_angular_source_weight	set_to_one
P21	constant_lambda_flow	CONDITIONAL_CONTROL	test_one_boundary_consequence	native_field_equation
P22	CSN	PINNED_BY_THEORY	common_scale_neutrality	relative_sector_normalization
P23	finite_cell	PINNED_BY_CANON	global_domain_structure	unique_boundary_functional
P24	bootstrap	WORKING_ONSHELL_ADMISSIBILITY	future_Xmax_mass_selection	executable_response_map
P25	action_source_carrier_mass_density	OPEN_NOT_USED	scope_guard	imported_closure
