catch	result
census_loss_rejected	PASS
coverage_loss_rejected	PASS
duplicate_path_rejected	PASS
endpoint_count_rejected	PASS
endpoint_residual_rejected	PASS
endpoint_validation_rejected	PASS
homotopy_gate_rejected	PASS
missing_coefficients_rejected	PASS
missing_path_rejected	PASS
missing_tangent_rejected	PASS
nonround_promotion_rejected	PASS
order2_open_rejected	PASS
regression_mismatch_rejected	PASS
round_norm_rejected	PASS
source_loss_rejected	PASS
status_count_rejected	PASS
summary_overclaim_rejected	PASS
timeout_endpoint_rejected	PASS
timeout_lambda_rejected	PASS
timeout_promoted_rejected	PASS
