family_id	rank	signature	discriminant_classes	numeric_status	configurations
M01_R	1	N0_P1_Z0		NUMERIC_CLASSIFIED	11830
M01_R	1	N1_P0_Z0		NUMERIC_CLASSIFIED	1078
M01_R	2	N1_P1_Z0	R:COMPLEX_CONJUGATE	NUMERIC_CLASSIFIED	4296
M01_R	2	N1_P1_Z0	R:COMPLEX_CONJUGATE	NUMERIC_UNCERTAIN	2
M01_R	4	N1_P3_Z0		NUMERIC_CLASSIFIED	768
M02_H	1	N0_P1_Z0		NUMERIC_CLASSIFIED	6213
M02_H	1	N1_P0_Z0		NUMERIC_CLASSIFIED	69
M02_H	2	N1_P1_Z0	H:COMPLEX_CONJUGATE	NUMERIC_CLASSIFIED	3003
M02_H	4	N1_P3_Z0		NUMERIC_CLASSIFIED	3072
M03_R_H	1	N0_P1_Z0		NUMERIC_CLASSIFIED	6683
M03_R_H	1	N1_P0_Z0		NUMERIC_CLASSIFIED	539
M03_R_H	2	N1_P1_Z0	H:COMPLEX_CONJUGATE;R:REPEATED_OR_CLUSTERED	NUMERIC_CLASSIFIED	384
M03_R_H	2	N1_P1_Z0	H:REPEATED_OR_CLUSTERED;R:COMPLEX_CONJUGATE	NUMERIC_CLASSIFIED	2148
M03_R_H	2	N1_P1_Z0	H:REPEATED_OR_CLUSTERED;R:COMPLEX_CONJUGATE	NUMERIC_UNCERTAIN	1
M03_R_H	4	N1_P3_Z0		NUMERIC_CLASSIFIED	3072
M04_D	1	N0_P1_Z0		NUMERIC_CLASSIFIED	2304
M04_D	1	N1_P0_Z0		NUMERIC_CLASSIFIED	768
M04_D	3	N0_P3_Z0		NUMERIC_CLASSIFIED	768
M04_D	3	N1_P2_Z0		NUMERIC_CLASSIFIED	2304
M04_D	4	N1_P3_Z0		NUMERIC_CLASSIFIED	3072
M05_R_D	1	N0_P1_Z0		NUMERIC_CLASSIFIED	6203
M05_R_D	1	N1_P0_Z0		NUMERIC_CLASSIFIED	635
M05_R_D	2	N1_P1_Z0	D:REPEATED_OR_CLUSTERED;R:COMPLEX_CONJUGATE	NUMERIC_CLASSIFIED	2148
M05_R_D	2	N1_P1_Z0	D:REPEATED_OR_CLUSTERED;R:COMPLEX_CONJUGATE	NUMERIC_UNCERTAIN	1
M05_R_D	3	N0_P3_Z0		NUMERIC_CLASSIFIED	96
M05_R_D	3	N1_P2_Z0		NUMERIC_CLASSIFIED	288
M05_R_D	4	N1_P3_Z0		NUMERIC_CLASSIFIED	3072
M06_H_D	4	N1_P3_Z0		NUMERIC_CLASSIFIED	6144
M07_R_H_D	1	N0_P1_Z0		NUMERIC_CLASSIFIED	5915
M07_R_H_D	1	N1_P0_Z0		NUMERIC_CLASSIFIED	539
M07_R_H_D	2	N1_P1_Z0	D:REPEATED_OR_CLUSTERED;H:REPEATED_OR_CLUSTERED;R:COMPLEX_CONJUGATE	NUMERIC_CLASSIFIED	2148
M07_R_H_D	2	N1_P1_Z0	D:REPEATED_OR_CLUSTERED;H:REPEATED_OR_CLUSTERED;R:COMPLEX_CONJUGATE	NUMERIC_UNCERTAIN	1
M07_R_H_D	4	N1_P3_Z0		NUMERIC_CLASSIFIED	3456
M08_RG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	6144
M09_R_RG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	6144
M10_H_RG	1	N0_P1_Z0		NUMERIC_CLASSIFIED	768
M10_H_RG	2	N1_P1_Z0	H:COMPLEX_CONJUGATE	NUMERIC_CLASSIFIED	384
M10_H_RG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	5760
M11_R_H_RG	1	N0_P1_Z0		NUMERIC_CLASSIFIED	768
M11_R_H_RG	2	N1_P1_Z0	H:COMPLEX_CONJUGATE;R:REPEATED_OR_CLUSTERED	NUMERIC_CLASSIFIED	384
M11_R_H_RG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	5760
M12_D_RG	1	N0_P1_Z0		NUMERIC_CLASSIFIED	288
M12_D_RG	1	N1_P0_Z0		NUMERIC_CLASSIFIED	96
M12_D_RG	3	N0_P3_Z0		NUMERIC_CLASSIFIED	96
M12_D_RG	3	N1_P2_Z0		NUMERIC_CLASSIFIED	288
M12_D_RG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	5760
M13_R_D_RG	1	N0_P1_Z0		NUMERIC_CLASSIFIED	288
M13_R_D_RG	1	N1_P0_Z0		NUMERIC_CLASSIFIED	96
M13_R_D_RG	3	N0_P3_Z0		NUMERIC_CLASSIFIED	96
M13_R_D_RG	3	N1_P2_Z0		NUMERIC_CLASSIFIED	288
M13_R_D_RG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	5760
M14_H_D_RG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	6144
M15_R_H_D_RG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	6144
M16_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	6144
M17_R_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	6144
M18_H_WG	1	N0_P1_Z0		NUMERIC_CLASSIFIED	768
M18_H_WG	2	N1_P1_Z0	H:COMPLEX_CONJUGATE	NUMERIC_CLASSIFIED	384
M18_H_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	5760
M19_R_H_WG	1	N0_P1_Z0		NUMERIC_CLASSIFIED	768
M19_R_H_WG	2	N1_P1_Z0	H:COMPLEX_CONJUGATE;R:REPEATED_OR_CLUSTERED	NUMERIC_CLASSIFIED	384
M19_R_H_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	5760
M20_D_WG	1	N0_P1_Z0		NUMERIC_CLASSIFIED	288
M20_D_WG	1	N1_P0_Z0		NUMERIC_CLASSIFIED	96
M20_D_WG	3	N0_P3_Z0		NUMERIC_CLASSIFIED	96
M20_D_WG	3	N1_P2_Z0		NUMERIC_CLASSIFIED	288
M20_D_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	5760
M21_R_D_WG	1	N0_P1_Z0		NUMERIC_CLASSIFIED	288
M21_R_D_WG	1	N1_P0_Z0		NUMERIC_CLASSIFIED	96
M21_R_D_WG	3	N0_P3_Z0		NUMERIC_CLASSIFIED	96
M21_R_D_WG	3	N1_P2_Z0		NUMERIC_CLASSIFIED	288
M21_R_D_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	5760
M22_H_D_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	6144
M23_R_H_D_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	6144
M24_RG_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	6144
M25_R_RG_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	6144
M26_H_RG_WG	1	N0_P1_Z0		NUMERIC_CLASSIFIED	768
M26_H_RG_WG	2	N1_P1_Z0	H:COMPLEX_CONJUGATE	NUMERIC_CLASSIFIED	384
M26_H_RG_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	5760
M27_R_H_RG_WG	1	N0_P1_Z0		NUMERIC_CLASSIFIED	768
M27_R_H_RG_WG	2	N1_P1_Z0	H:COMPLEX_CONJUGATE;R:REPEATED_OR_CLUSTERED	NUMERIC_CLASSIFIED	384
M27_R_H_RG_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	5760
M28_D_RG_WG	1	N0_P1_Z0		NUMERIC_CLASSIFIED	288
M28_D_RG_WG	1	N1_P0_Z0		NUMERIC_CLASSIFIED	96
M28_D_RG_WG	3	N0_P3_Z0		NUMERIC_CLASSIFIED	96
M28_D_RG_WG	3	N1_P2_Z0		NUMERIC_CLASSIFIED	288
M28_D_RG_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	5760
M29_R_D_RG_WG	1	N0_P1_Z0		NUMERIC_CLASSIFIED	288
M29_R_D_RG_WG	1	N1_P0_Z0		NUMERIC_CLASSIFIED	96
M29_R_D_RG_WG	3	N0_P3_Z0		NUMERIC_CLASSIFIED	96
M29_R_D_RG_WG	3	N1_P2_Z0		NUMERIC_CLASSIFIED	288
M29_R_D_RG_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	5760
M30_H_D_RG_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	6144
M31_R_H_D_RG_WG	4	N1_P3_Z0		NUMERIC_CLASSIFIED	6144
