family_id	motif	gradient_incidence	configurations
M01_R	FOUR_LINES	NO_UNIQUE_SPLIT	539
M01_R	FOUR_LINES	ZERO_GRADIENT	539
M01_R	NUMERIC_UNCERTAIN	SPLIT_ACROSS_BOTH_PLANES	1
M01_R	NUMERIC_UNCERTAIN	ZERO_GRADIENT	1
M01_R	SCALAR_4_AMBIGUITY	NO_UNIQUE_SPLIT	384
M01_R	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M01_R	TWO_PLUS_TWO_LINES	SPLIT_ACROSS_BOTH_PLANES	2148
M01_R	TWO_PLUS_TWO_LINES	ZERO_GRADIENT	2148
M02_H	FOUR_LINES	NO_UNIQUE_SPLIT	69
M02_H	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	3072
M02_H	TWO_PLUS_TWO_LINES	SPLIT_ACROSS_BOTH_PLANES	3003
M03_R_H	FOUR_LINES	ZERO_GRADIENT	539
M03_R_H	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M03_R_H	NUMERIC_UNCERTAIN	ZERO_GRADIENT	1
M03_R_H	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M03_R_H	TWO_PLUS_TWO_LINES	SPLIT_ACROSS_BOTH_PLANES	384
M03_R_H	TWO_PLUS_TWO_LINES	ZERO_GRADIENT	2148
M04_D	LINE_PLUS_THREE	NO_UNIQUE_SPLIT	3072
M04_D	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	3072
M05_R_D	FOUR_LINES	ZERO_GRADIENT	539
M05_R_D	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2681
M05_R_D	LINE_PLUS_THREE	NO_UNIQUE_SPLIT	384
M05_R_D	NUMERIC_UNCERTAIN	NO_UNIQUE_SPLIT	7
M05_R_D	NUMERIC_UNCERTAIN	ZERO_GRADIENT	1
M05_R_D	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M05_R_D	TWO_PLUS_TWO_LINES	ZERO_GRADIENT	2148
M06_H_D	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	3067
M06_H_D	NUMERIC_UNCERTAIN	NO_UNIQUE_SPLIT	5
M06_H_D	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	3072
M07_R_H_D	FOUR_LINES	ZERO_GRADIENT	539
M07_R_H_D	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	3072
M07_R_H_D	NUMERIC_UNCERTAIN	ZERO_GRADIENT	1
M07_R_H_D	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M07_R_H_D	TWO_PLUS_TWO_LINES	ZERO_GRADIENT	2148
M08_RG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M08_RG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M08_RG	SCALAR_4_AMBIGUITY	NO_UNIQUE_SPLIT	384
M08_RG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M09_R_RG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
M09_R_RG	FULL_IRREDUCIBLE_4	ZERO_GRADIENT	2688
M09_R_RG	SCALAR_4_AMBIGUITY	NO_UNIQUE_SPLIT	384
M09_R_RG	SCALAR_4_AMBIGUITY	ZERO_GRADIENT	384
M10_H_RG	FULL_IRREDUCIBLE_4	NO_UNIQUE_SPLIT	2688
