claim_id	claim	status	scope_or_blocker
S01	The complete 31-family nonempty subset lattice over R H D RG WG was classified on all 6144 immutable pointwise two-jets.	OBSERVED	Bounded finite pointwise ensemble only
S02	The classified rows use five recurring certified motifs plus an explicit numerical-uncertainty class.	OBSERVED	190464 original family rows; 17 uncertain
S03	The 1;1;2 motif contains a Lorentzian rank-two primitive block and two spacelike primitive lines.	OBSERVED	16431 family rows in the registered ensemble
S04	The 1;1;2 Lorentzian block is the UDT reciprocal clock/ruler plane.	OPEN	Tempting interpretation but neither observer meaning nor physical selection was tested
S05	The D motif is a distinguished gradient direction plus an orthogonal three-space.	OBSERVED	Pointwise unnormalized dyad; 5760 family rows across all subsets
S06	R and H unique splits generically cross and jointly mix all four directions in this ensemble.	OBSERVED	2090 both-unique configurations; two related margins retained
S07	The complete pointwise curvature orchestra is usually an all-direction mixer and otherwise silent.	OBSERVED	RG and WG each 5376 full and 768 scalar configurations
S08	The motif atlas derives a physical angular sector or a stable matter structure.	OPEN	No section transport topology action source boundary scale or dynamics entered
S09	The motif atlas selects an action or field equation.	OPEN	No variational principle was loaded or tested
S10	The motif atlas selects a unique global solution or finite-cell completion.	OPEN	Pointwise two-jets do not establish integrability transport or global compatibility
S11	All non-uncertain classifications are covariant under the two registered nonlinear chart probes.	OBSERVED	Zero non-uncertain family edge or alignment discordances; finite probe only
S12	The bounded atlas is independently reproduced on frozen blind anchors and all retained margin identities.	OBSERVED	35712 blind-anchor comparisons plus 124 all-margin identities; zero discordant identities
S13	The five motif classes exhaust every possible UDT differential concomitant or solution.	OPEN	Only five registered pointwise instrument groups at two-jet order were enumerated
S14	The atlas provides an empirical prediction distinct from GR.	OPEN	No global solution observable or comparison model was evaluated
S15	The five motif types are algebraically unique to UDT rather than generic four-dimensional Lorentzian spectral possibilities.	OPEN	No matched generic-Lorentzian or GR comparison ensemble entered this metric-led atlas
