configuration_id	family_id	original_numeric_status	original_discordant_fields	transformed_accounting_discordances	result
R00_1_M1_B1_P1	M08_RG	NUMERIC_CLASSIFIED			PASS
R00_1_M1_B1_P1	M09_R_RG	NUMERIC_CLASSIFIED			PASS
R00_1_M1_B1_P1	M10_H_RG	NUMERIC_CLASSIFIED			PASS
R00_1_M1_B1_P1	M11_R_H_RG	NUMERIC_CLASSIFIED			PASS
R00_1_M1_B1_P1	M12_D_RG	NUMERIC_CLASSIFIED			PASS
R00_1_M1_B1_P1	M13_R_D_RG	NUMERIC_CLASSIFIED			PASS
R00_1_M1_B1_P1	M14_H_D_RG	NUMERIC_CLASSIFIED			PASS
R00_1_M1_B1_P1	M15_R_H_D_RG	NUMERIC_CLASSIFIED			PASS
R00_1_M9_B1_P1	M08_RG	NUMERIC_CLASSIFIED			PASS
R00_1_M9_B1_P1	M09_R_RG	NUMERIC_CLASSIFIED			PASS
R00_1_M9_B1_P1	M10_H_RG	NUMERIC_CLASSIFIED			PASS
R00_1_M9_B1_P1	M11_R_H_RG	NUMERIC_CLASSIFIED			PASS
R00_1_M9_B1_P1	M12_D_RG	NUMERIC_CLASSIFIED			PASS
R00_1_M9_B1_P1	M13_R_D_RG	NUMERIC_CLASSIFIED			PASS
R00_1_M9_B1_P1	M14_H_D_RG	NUMERIC_CLASSIFIED			PASS
R00_1_M9_B1_P1	M15_R_H_D_RG	NUMERIC_CLASSIFIED			PASS
R00_1_MD_B0_P4	M05_R_D	NUMERIC_UNCERTAIN			PASS
R00_3_M9_B0_P0	M06_H_D	NUMERIC_CLASSIFIED			PASS
R00_3_MC_B2_P2	M05_R_D	NUMERIC_CLASSIFIED			PASS
R01_1_MB_B3_P7	M05_R_D	NUMERIC_UNCERTAIN			PASS
R04_1_MC_B3_P7	M06_H_D	NUMERIC_UNCERTAIN			PASS
R06_1_ME_B0_P0	M06_H_D	NUMERIC_CLASSIFIED			PASS
R07_1_M1_B1_P1	M08_RG	NUMERIC_CLASSIFIED			PASS
R07_1_M1_B1_P1	M09_R_RG	NUMERIC_CLASSIFIED			PASS
R07_1_M1_B1_P1	M10_H_RG	NUMERIC_CLASSIFIED			PASS
R07_1_M1_B1_P1	M11_R_H_RG	NUMERIC_CLASSIFIED			PASS
R07_1_M1_B1_P1	M12_D_RG	NUMERIC_CLASSIFIED			PASS
R07_1_M1_B1_P1	M13_R_D_RG	NUMERIC_CLASSIFIED			PASS
R07_1_M1_B1_P1	M14_H_D_RG	NUMERIC_CLASSIFIED			PASS
R07_1_M1_B1_P1	M15_R_H_D_RG	NUMERIC_CLASSIFIED			PASS
R07_1_M9_B1_P1	M08_RG	NUMERIC_CLASSIFIED			PASS
R07_1_M9_B1_P1	M09_R_RG	NUMERIC_CLASSIFIED			PASS
R07_1_M9_B1_P1	M10_H_RG	NUMERIC_CLASSIFIED			PASS
R07_1_M9_B1_P1	M11_R_H_RG	NUMERIC_CLASSIFIED			PASS
R07_1_M9_B1_P1	M12_D_RG	NUMERIC_CLASSIFIED			PASS
R07_1_M9_B1_P1	M13_R_D_RG	NUMERIC_CLASSIFIED			PASS
R07_1_M9_B1_P1	M14_H_D_RG	NUMERIC_CLASSIFIED			PASS
R07_1_M9_B1_P1	M15_R_H_D_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M1_B1_P1	M08_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M1_B1_P1	M09_R_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M1_B1_P1	M10_H_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M1_B1_P1	M11_R_H_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M1_B1_P1	M12_D_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M1_B1_P1	M13_R_D_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M1_B1_P1	M14_H_D_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M1_B1_P1	M15_R_H_D_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M9_B1_P1	M08_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M9_B1_P1	M09_R_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M9_B1_P1	M10_H_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M9_B1_P1	M11_R_H_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M9_B1_P1	M12_D_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M9_B1_P1	M13_R_D_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M9_B1_P1	M14_H_D_RG	NUMERIC_CLASSIFIED			PASS
R08_1_M9_B1_P1	M15_R_H_D_RG	NUMERIC_CLASSIFIED			PASS
R08_3_M9_B0_P0	M06_H_D	NUMERIC_CLASSIFIED			PASS
R09_1_MC_B0_P4	M06_H_D	NUMERIC_CLASSIFIED			PASS
R09_1_ME_B0_P0	M06_H_D	NUMERIC_CLASSIFIED			PASS
R10_3_ME_B1_P5	M06_H_D	NUMERIC_CLASSIFIED			PASS
R10_3_MF_B3_P7	M05_R_D	NUMERIC_UNCERTAIN			PASS
R12_1_MD_B0_P0	M05_R_D	NUMERIC_CLASSIFIED			PASS
R12_1_ME_B1_P1	M05_R_D	NUMERIC_UNCERTAIN			PASS
R13_1_ME_B0_P0	M06_H_D	NUMERIC_UNCERTAIN			PASS
R13_1_ME_B2_P2	M05_R_D	NUMERIC_UNCERTAIN			PASS
R15_1_M1_B1_P1	M08_RG	NUMERIC_CLASSIFIED			PASS
R15_1_M1_B1_P1	M09_R_RG	NUMERIC_CLASSIFIED			PASS
R15_1_M1_B1_P1	M10_H_RG	NUMERIC_CLASSIFIED			PASS
R15_1_M1_B1_P1	M11_R_H_RG	NUMERIC_CLASSIFIED			PASS
R15_1_M1_B1_P1	M12_D_RG	NUMERIC_CLASSIFIED			PASS
R15_1_M1_B1_P1	M13_R_D_RG	NUMERIC_CLASSIFIED			PASS
R15_1_M1_B1_P1	M14_H_D_RG	NUMERIC_CLASSIFIED			PASS
R15_1_M1_B1_P1	M15_R_H_D_RG	NUMERIC_CLASSIFIED			PASS
R15_1_M9_B1_P1	M08_RG	NUMERIC_CLASSIFIED			PASS
R15_1_M9_B1_P1	M09_R_RG	NUMERIC_CLASSIFIED			PASS
R15_1_M9_B1_P1	M10_H_RG	NUMERIC_CLASSIFIED			PASS
R15_1_M9_B1_P1	M11_R_H_RG	NUMERIC_CLASSIFIED			PASS
R15_1_M9_B1_P1	M12_D_RG	NUMERIC_CLASSIFIED			PASS
R15_1_M9_B1_P1	M13_R_D_RG	NUMERIC_CLASSIFIED			PASS
R15_1_M9_B1_P1	M14_H_D_RG	NUMERIC_CLASSIFIED			PASS
R15_1_M9_B1_P1	M15_R_H_D_RG	NUMERIC_CLASSIFIED			PASS
V001_MC_B0_P0	M05_R_D	NUMERIC_UNCERTAIN			PASS
V005_MA_B0_P4	M05_R_D	NUMERIC_UNCERTAIN			PASS
V007_M1_B2_P2	M08_RG	NUMERIC_CLASSIFIED			PASS
V007_M1_B2_P2	M09_R_RG	NUMERIC_CLASSIFIED			PASS
V007_M1_B2_P2	M10_H_RG	NUMERIC_CLASSIFIED			PASS
V007_M1_B2_P2	M11_R_H_RG	NUMERIC_CLASSIFIED			PASS
V007_M1_B2_P2	M12_D_RG	NUMERIC_CLASSIFIED			PASS
V007_M1_B2_P2	M13_R_D_RG	NUMERIC_CLASSIFIED			PASS
