source_family_id	destination_family_id	added_instrument	transition	projector_relation	numeric_status	configurations
M01_R	M03_R_H	H	AMBIGUITY_TO_CERTIFIED_MOTIF	DESTINATION_REFINES_SOURCE	NUMERIC_CLASSIFIED	384
M01_R	M03_R_H	H	MIXES_TO_FULL_ALGEBRA	DESTINATION_COARSENS_SOURCE	NUMERIC_CLASSIFIED	2687
M01_R	M03_R_H	H	NUMERIC_UNCERTAIN	NUMERIC_UNCERTAIN	NUMERIC_UNCERTAIN	2
M01_R	M03_R_H	H	PRIMITIVE_BLOCKS_PRESERVED	SAME_PRIMITIVE_PROJECTORS	NUMERIC_CLASSIFIED	3071
M01_R	M05_R_D	D	AMBIGUITY_TO_CERTIFIED_MOTIF	DESTINATION_REFINES_SOURCE	NUMERIC_CLASSIFIED	384
M01_R	M05_R_D	D	MIXES_TO_FULL_ALGEBRA	DESTINATION_COARSENS_SOURCE	NUMERIC_CLASSIFIED	2680
M01_R	M05_R_D	D	NUMERIC_UNCERTAIN	NUMERIC_UNCERTAIN	NUMERIC_UNCERTAIN	9
M01_R	M05_R_D	D	PRIMITIVE_BLOCKS_PRESERVED	SAME_PRIMITIVE_PROJECTORS	NUMERIC_CLASSIFIED	3071
M01_R	M09_R_RG	RG	MIXES_TO_FULL_ALGEBRA	DESTINATION_COARSENS_SOURCE	NUMERIC_CLASSIFIED	5374
M01_R	M09_R_RG	RG	NUMERIC_UNCERTAIN	NUMERIC_UNCERTAIN	NUMERIC_UNCERTAIN	2
M01_R	M09_R_RG	RG	PRIMITIVE_BLOCKS_PRESERVED	SAME_PRIMITIVE_PROJECTORS	NUMERIC_CLASSIFIED	768
M01_R	M17_R_WG	WG	MIXES_TO_FULL_ALGEBRA	DESTINATION_COARSENS_SOURCE	NUMERIC_CLASSIFIED	5374
M01_R	M17_R_WG	WG	NUMERIC_UNCERTAIN	NUMERIC_UNCERTAIN	NUMERIC_UNCERTAIN	2
M01_R	M17_R_WG	WG	PRIMITIVE_BLOCKS_PRESERVED	SAME_PRIMITIVE_PROJECTORS	NUMERIC_CLASSIFIED	768
M02_H	M03_R_H	R	AMBIGUITY_TO_CERTIFIED_MOTIF	DESTINATION_REFINES_SOURCE	NUMERIC_CLASSIFIED	2687
M02_H	M03_R_H	R	MIXES_TO_FULL_ALGEBRA	DESTINATION_COARSENS_SOURCE	NUMERIC_CLASSIFIED	2688
M02_H	M03_R_H	R	NUMERIC_UNCERTAIN	NUMERIC_UNCERTAIN	NUMERIC_UNCERTAIN	1
M02_H	M03_R_H	R	PRIMITIVE_BLOCKS_PRESERVED	SAME_PRIMITIVE_PROJECTORS	NUMERIC_CLASSIFIED	768
M02_H	M06_H_D	D	MIXES_TO_FULL_ALGEBRA	DESTINATION_COARSENS_SOURCE	NUMERIC_CLASSIFIED	3067
M02_H	M06_H_D	D	NUMERIC_UNCERTAIN	NUMERIC_UNCERTAIN	NUMERIC_UNCERTAIN	5
M02_H	M06_H_D	D	PRIMITIVE_BLOCKS_PRESERVED	SAME_PRIMITIVE_PROJECTORS	NUMERIC_CLASSIFIED	3072
M02_H	M10_H_RG	RG	MIXES_TO_FULL_ALGEBRA	DESTINATION_COARSENS_SOURCE	NUMERIC_CLASSIFIED	2688
M02_H	M10_H_RG	RG	MIXES_TO_FULL_ALGEBRA	SAME_PRIMITIVE_PROJECTORS	NUMERIC_CLASSIFIED	2688
M02_H	M10_H_RG	RG	PRIMITIVE_BLOCKS_PRESERVED	SAME_PRIMITIVE_PROJECTORS	NUMERIC_CLASSIFIED	768
M02_H	M18_H_WG	WG	MIXES_TO_FULL_ALGEBRA	DESTINATION_COARSENS_SOURCE	NUMERIC_CLASSIFIED	2688
M02_H	M18_H_WG	WG	MIXES_TO_FULL_ALGEBRA	SAME_PRIMITIVE_PROJECTORS	NUMERIC_CLASSIFIED	2688
M02_H	M18_H_WG	WG	PRIMITIVE_BLOCKS_PRESERVED	SAME_PRIMITIVE_PROJECTORS	NUMERIC_CLASSIFIED	768
